column
soil_pH
soil_NH4
soil_total_C
soil_total_N
chem__LBC (mg/kg CaCO3/pH dry weight)
chem__LBCeq (mg/kg CaCO3/pH dry weight)
chem__pH
chem__Ca (Mehlich 1 mg/kg dry weight)
Altererythrobacter epoxidivorans
Altererythrobacter ishigakiensis
Altererythrobacter mangrovi
Altererythrobacter marensis
Altererythrobacter namhicola
Altererythrobacter sp. B11
Altererythrobacter sp. NS1
Altererythrobacter sp. ZODW24
Alteromonas australica
Alteromonas macleodii
Alteromonas mediterranea
Alteromonas sp. RKMC-009
Aminobacter aminovorans
Aminobacter sp. MSH1
Aminobacterium colombiense
Aminomonas paucivorans
Ammonifex degensii
Amycolatopsis albispora
Amycolatopsis japonica
Amycolatopsis keratiniphila
Amycolatopsis mediterranei
Amycolatopsis methanolica
Amycolatopsis orientalis
Amycolatopsis sp. AA4
Amycolatopsis sp. BJA-103
Anabaena cylindrica
Anabaena sp. 90
Anabaena sp. WA102
Anabaenopsis circularis
Anaerolinea thermophila
Anaerolineaceae bacterium oral taxon 439
Anaeromyxobacter dehalogenans
Anaeromyxobacter sp. Fw109-5
Anaeromyxobacter sp. K
Anaerotignum propionicum
Anaplasma marginale
Anderseniella sp. Alg231-50
Aneurinibacillus soli
Aneurinibacillus sp. XH2
Anoxybacillus amylolyticus
Anoxybacillus flavithermus
Antarctobacter heliothermus
Aquabacterium olei
Aquaspirillum sp. LM1
Aquifex aeolicus
Aquiflexum balticum
Aquimarina sp. AD1
Aquimarina sp. AD10
Aquimarina sp. BL5
Aquitalea magnusonii
Arachidicoccus sp. BS20
Arachidicoccus sp. KIS59-12
Arcanobacterium haemolyticum
Arcanobacterium phocae
Archangium gephyra
Arcticibacterium luteifluviistationis
Arenibacter algicola
Aromatoleum aromaticum
Arsenicicoccus sp. oral taxon 190
Arthrobacter alpinus
Arthrobacter crystallopoietes
Arthrobacter sp. ATCC 21022
Arthrobacter sp. DCT-5
Arthrobacter sp. ERGS1:01
Arthrobacter sp. FB24
