dgms_id,ms_name,procsm_id,biosample_id
nmdc:dgms-12-mhvvvy37,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_107LM_SKWD-24-1-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run90,nmdc:procsm-11-pjgvfb64,nmdc:bsm-11-8bewbp90
nmdc:dgms-12-fq6ba557,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_107RM_SKWD-24-1-Corv-RM_1_Rg70to1050-CE102040-root-S1_Run765,nmdc:procsm-11-5hrp0r04,nmdc:bsm-11-43rwvm93
nmdc:dgms-12-wzwzx786,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_107RZM_SKWD-24-1-Corv-RZM_1_Rg70to1050-CE102040-rhizo-S1_Run391,nmdc:procsm-11-24asyz54,nmdc:bsm-11-hx8qxc63
nmdc:dgms-12-gprfrf98,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_108LM_SKWD-24-1-Corv-LM_2_Rg70to1050-CE102040-leaf-S1_Run193,nmdc:procsm-11-eygsz173,nmdc:bsm-11-m4e83773
nmdc:dgms-12-qcf4ra79,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_108RM_SKWD-24-1-Corv-RM_2_Rg70to1050-CE102040-root-S1_Run896,nmdc:procsm-11-b1zxqj98,nmdc:bsm-11-pvr0ez88
nmdc:dgms-12-ga7g0t50,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_108RZM_SKWD-24-1-Corv-RZM_2_Rg70to1050-CE102040-rhizo-S1_Run531,nmdc:procsm-11-a3qqqp02,nmdc:bsm-11-wm40z541
nmdc:dgms-12-2fx7hr23,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_109LM_SKWD-24-1-Corv-LM_3_Rg70to1050-CE205060-leaf-S1_Run281,nmdc:procsm-11-phj9cv48,nmdc:bsm-11-sdjt4464
nmdc:dgms-12-tme6p088,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_109RM_SKWD-24-1-Corv-RM_3_Rg70to1050-CE205060-root-S1_Run944,nmdc:procsm-11-yaa8h814,nmdc:bsm-11-qzncy838
nmdc:dgms-12-2c79wt25,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_109RZM_SKWD-24-1-Corv-RZM_3_Rg70to1050-CE205060-rhizo-S1_Run622,nmdc:procsm-11-gs9njg96,nmdc:bsm-11-1a9d1633
nmdc:dgms-12-5wj3q521,20220119_JGI_MD_507130_BioS_final1_QE-139_HILICZ_USHXG01825_NEG_MSMS_10LM_BESC-133-Corv-LM_1_Rg70to1050-CE102040-leaf-S1_Run62,nmdc:procsm-11-8e98g167,nmdc:bsm-11-g4my3419
