sample_id_raw,sample_id_norm
nmdc:bsm-11-ad739z23,nmdc_bsm-11-ad739z23
nmdc:bsm-11-adwwk217,nmdc_bsm-11-adwwk217
nmdc:bsm-11-d1h1d248,nmdc_bsm-11-d1h1d248
nmdc:bsm-11-kgkcxn39,nmdc_bsm-11-kgkcxn39
nmdc:bsm-11-f0st6436,nmdc_bsm-11-f0st6436
nmdc:bsm-11-szd4fj93,nmdc_bsm-11-szd4fj93
nmdc:bsm-11-h49t7j41,nmdc_bsm-11-h49t7j41
nmdc:bsm-11-k3zdem68,nmdc_bsm-11-k3zdem68
nmdc:bsm-11-97dgrv19,nmdc_bsm-11-97dgrv19
nmdc:bsm-11-8ah8pz02,nmdc_bsm-11-8ah8pz02
nmdc:bsm-11-5snc2s56,nmdc_bsm-11-5snc2s56
nmdc:bsm-11-da01b330,nmdc_bsm-11-da01b330
nmdc:bsm-11-18btad96,nmdc_bsm-11-18btad96
nmdc:bsm-11-vc1cgz17,nmdc_bsm-11-vc1cgz17
nmdc:bsm-11-rtchk112,nmdc_bsm-11-rtchk112
nmdc:bsm-11-2a37n046,nmdc_bsm-11-2a37n046
nmdc:bsm-11-arjq1c41,nmdc_bsm-11-arjq1c41
