,count,mean,std,min,25%,50%,75%,max
Chryseobacterium carnipullorum,105.0,0.006980952380952382,0.03918815091531085,0.0,0.0,0.001,0.001,0.396
Chryseobacterium carnis,105.0,0.0006857142857142858,0.0009126702761496253,0.0,0.0,0.001,0.001,0.005
Chryseobacterium gallinarum,105.0,0.0018857142857142848,0.004760240551683299,0.0,0.0,0.001,0.001,0.0349999999999999
Chryseobacterium glaciei,105.0,0.007380952380952378,0.021089726332424435,0.0,0.001,0.001,0.002,0.123
Chryseobacterium haifense,105.0,0.0005619047619047619,0.0009397607052596858,0.0,0.0,0.0,0.001,0.005
Chryseobacterium indologenes,105.0,0.007266666666666667,0.021091497861728144,0.0,0.001,0.001,0.002,0.146
Chryseobacterium indoltheticum,105.0,0.008038095238095238,0.029512684303508136,0.0,0.001,0.001,0.002,0.267
Chryseobacterium joostei,105.0,0.0024190476190476175,0.006447690332414431,0.0,0.0,0.0,0.001,0.036
Chryseobacterium lactis,105.0,0.002923809523809522,0.006732091968404935,0.0,0.001,0.001,0.001,0.042
Chryseobacterium nakagawai,105.0,0.002904761904761902,0.006999345861638947,0.0,0.0,0.001,0.001,0.038
Chryseobacterium piperi,105.0,0.002723809523809523,0.006889924692698909,0.0,0.0,0.001,0.001,0.038
Chryseobacterium shandongense,105.0,0.0036857142857142835,0.009759920284307846,0.0,0.001,0.001,0.001,0.065
Chryseobacterium sp. 6424,105.0,0.0007238095238095239,0.0006122976603813091,0.0,0.0,0.001,0.001,0.003
Chryseobacterium sp. IHB B 17019,105.0,0.0057333333333333325,0.017624974995435968,0.0,0.0,0.001,0.001,0.107
Chryseobacterium sp. StRB126,105.0,0.002228571428571427,0.005911620145717481,0.0,0.0,0.001,0.001,0.038
Chryseobacterium sp. T16E-39,105.0,0.003914285714285713,0.011101900639178748,0.0,0.001,0.001,0.001,0.075
Chryseobacterium taklimakanense,105.0,0.001323809523809524,0.000914574702496677,0.0,0.001,0.001,0.002,0.005
Chryseolinea sp. KIS68-18,105.0,0.030657142857142848,0.08675460845345387,0.003,0.01,0.015,0.027,0.89
Chthonomonas calidirosea,105.0,0.0015523809523809527,0.0008658138943408684,0.0,0.001,0.002,0.002,0.003
Citrobacter amalonaticus,105.0,0.001685714285714286,0.0018877860746748453,0.001,0.001,0.001,0.002,0.015
Citrobacter braakii,105.0,0.0010380952380952381,0.005160731555036555,0.0,0.0,0.0,0.0,0.047
Citrobacter farmeri,105.0,0.001247619047619048,0.0011332471417343564,0.0,0.001,0.001,0.001,0.009
Citrobacter freundii,105.0,0.004219047619047619,0.003739037701120825,0.002,0.003,0.003,0.004,0.024
Citrobacter freundii complex sp. CFNIH2,105.0,0.00013333333333333334,0.0004175631381707134,0.0,0.0,0.0,0.0,0.002
Citrobacter freundii complex sp. CFNIH3,105.0,0.0033523809523809517,0.01378264024638143,0.0,0.001,0.001,0.001,0.128
Citrobacter freundii complex sp. CFNIH4,105.0,0.0007238095238095239,0.0011969130012664795,0.0,0.0,0.0,0.001,0.01
Citrobacter freundii complex sp. CFNIH9,105.0,0.00019047619047619048,0.0005018281596637458,0.0,0.0,0.0,0.0,0.003
Citrobacter koseri,105.0,0.011714285714285705,0.012104285863434332,0.003,0.0069999999999999,0.009,0.012,0.091
Citrobacter pasteurii,105.0,6.666666666666667e-05,0.00031824841127969734,0.0,0.0,0.0,0.0,0.002
Citrobacter portucalensis,105.0,4.761904761904762e-05,0.00021398024625545627,0.0,0.0,0.0,0.0,0.001
Citrobacter rodentium,105.0,0.004457142857142854,0.003658574153295895,0.002,0.003,0.004,0.004,0.029
Citrobacter sp. CFNIH10,105.0,4.761904761904762e-05,0.00021398024625545633,0.0,0.0,0.0,0.0,0.001
Citrobacter sp. FDAARGOS_156,105.0,9.523809523809524e-05,0.00040486962582961635,0.0,0.0,0.0,0.0,0.003
Citrobacter werkmanii,105.0,0.005295238095238093,0.020158947149669083,0.001,0.002,0.003,0.003,0.207
Citrobacter youngae,105.0,8.571428571428573e-05,0.0003429029273459439,0.0,0.0,0.0,0.0,0.002
Citromicrobium sp. JL477,105.0,0.0140095238095238,0.006694566163480364,0.005,0.01,0.013,0.016,0.042
Clavibacter michiganensis,105.0,0.17788571428571426,0.08418766974007377,0.032,0.102,0.174,0.239,0.442
Cloacibacillus porcorum,105.0,0.0024000000000000002,0.0013416407864998744,0.0,0.001,0.002,0.003,0.006
Cloacibacterium normanense,105.0,0.0004380952380952381,0.0007060699671667103,0.0,0.0,0.0,0.001,0.004
Clostridiales bacterium CCNA10,105.0,0.002019047619047619,0.001143383578387414,0.0,0.001,0.002,0.003,0.005
Clostridioides difficile,105.0,0.0010476190476190477,0.0008591246929842245,0.0,0.001,0.001,0.001,0.004
Clostridium acetobutylicum,105.0,0.00018095238095238098,0.000475979806879217,0.0,0.0,0.0,0.0,0.002
Clostridium argentinense,105.0,0.00017142857142857145,0.00046939287417862457,0.0,0.0,0.0,0.0,0.003
Clostridium baratii,105.0,0.0002476190476190476,0.0006321658798398559,0.0,0.0,0.0,0.0,0.003
Clostridium beijerinckii,105.0,0.018752380952380934,0.028976044798439488,0.001,0.004,0.0069999999999999,0.016,0.145
Clostridium bornimense,105.0,0.0001523809523809524,0.00041093122157420545,0.0,0.0,0.0,0.0,0.002
Clostridium botulinum,105.0,0.016523809523809514,0.016745892285122004,0.001,0.004,0.009,0.026,0.077
Clostridium butyricum,105.0,0.0007904761904761887,0.001934977827815909,0.0,0.0,0.0,0.001,0.011
