node_id,label,display_label,node_type,degree,weighted_degree,betweenness,hub_score
M::C18_negative|IK:CQSLTKIXAJTQGA-FLIBITNWSA-N,C18_negative|IK:CQSLTKIXAJTQGA-FLIBITNWSA-N,"C18-
IK:CQSLTKIX",metabolite,3,0.11949452854827411,0.0006060606060606061,0.8725247524752475
M::C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,C18_negative|IK:CUCUKLJLRRAKFN-UHFFFAOYSA-N,"C18-
IK:CUCUKLJL",metabolite,3,0.0857045614537648,0.00101010101010101,0.8628712871287129
M::C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,C18_negative|IK:BJEPYKJPYRNKOW-UWTATZPHSA-N,"C18-
IK:BJEPYKJP",metabolite,3,0.08560569067890969,0.0014141414141414141,0.8589108910891089
M::C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,C18_negative|IK:BJHIKXHVCXFQLS-PQLUHFTBSA-N,"C18-
IK:BJHIKXHV",metabolite,3,0.0880381418354502,0.0006060606060606061,0.8586633663366336
M::C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,"C18-
IK:CZMRCDWA",metabolite,3,0.0874103526951969,0.0006060606060606061,0.8551980198019802
M::C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,"C18-
IK:BJEPYKJP",metabolite,3,0.085654908551846,0.0006060606060606061,0.8482673267326732
F::soil_total_C,soil_total_C,soil:total_C,soil,2,0.234925987602646,0.0018181818181818182,0.8418316831683168
M::C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,"C18-
IK:CWVRJTMF",metabolite,3,0.076106250528023,0.0018181818181818182,0.8363861386138614
M::C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,"C18-
IK:BJRNKVDF",metabolite,3,0.0813619065650635,0.0006060606060606061,0.8309405940594059
M::C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,"C18-
IK:BAHHZVVN",metabolite,3,0.0754027996844644,0.0006060606060606061,0.8136138613861386
F::Pseudomonas umsongensis,Pseudomonas umsongensis,Pseudomonas umsonge...,microbe,2,0.1548181050218282,0.0006060606060606061,0.8051980198019801
M::C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,"C18-
IK:CZOXIGOP",metabolite,3,0.0678232200556147,0.0006060606060606061,0.7997524752475247
F::nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),nitrif:Rate (mg NO3-N/kilogram dry weight soil/day),soil,2,0.0847462725667675,0.0036363636363636364,0.771039603960396
F::Chryseolinea sp. KIS68-18,Chryseolinea sp. KIS68-18,Chryseolinea sp. KI...,microbe,2,0.0852682883436208,0.0012121212121212121,0.7623762376237623
M::C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,"C18-
IK:BJRNKVDF",metabolite,2,0.0848979978284151,0.0008080808080808081,0.7559405940594058
F::Methylotenera mobilis,Methylotenera mobilis,Methylotenera mobilis,microbe,2,0.1582023311369969,0.0,0.7423267326732673
F::moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 1 ...,soil,2,0.0641885849309709,0.0036363636363636364,0.725990099009901
M::C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,"C18-
IK:AIONOLUJ",metabolite,2,0.0701662179243822,0.00020202020202020202,0.7029702970297029
F::Enterobacter sp. 638,Enterobacter sp. 638,Enterobacter sp. 638,microbe,2,0.0700591734423909,0.00020202020202020202,0.6995049504950495
F::Cupriavidus necator,Cupriavidus necator,Cupriavidus necator,microbe,2,0.048609831617817095,0.0018181818181818182,0.685891089108911
M::C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,"C18-
IK:AKEUNCKR",metabolite,2,0.0596645840846226,0.00020202020202020202,0.6787128712871286
M::C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,"C18-
IK:CKEXCBVN",metabolite,2,0.0506674950405637,0.00020202020202020202,0.6648514851485148
F::psize__Soil Clay Content %,psize__Soil Clay Content %,psize__Soil Clay Co...,soil,2,0.0808566042682262,0.0,0.6626237623762377
M::C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,"C18-
IK:DLRVVLDZ",metabolite,2,0.048760919800334604,0.00020202020202020202,0.6544554455445545
M::C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,"C18-
IK:AAWZDTNX",metabolite,2,0.0369385927487393,0.00020202020202020202,0.6128712871287129
M::C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,"C18-
IK:BPSJMBKZ",metabolite,1,0.1220847320987777,0.0,0.5225247524752475
F::Curtobacterium sp. BH-2-1-1,Curtobacterium sp. BH-2-1-1,Curtobacterium sp. ...,microbe,1,0.0812880379555193,0.0,0.4705445544554456
F::Agrobacterium tumefaciens,Agrobacterium tumefaciens,Agrobacterium tumef...,microbe,1,0.0782461284976896,0.0,0.46361386138613864
F::psize__Soil Sand Content %,psize__Soil Sand Content %,psize__Soil Sand Co...,soil,1,0.0690000312087457,0.0,0.4462871287128713
F::Flavobacterium gilvum,Flavobacterium gilvum,Flavobacterium gilvum,microbe,1,0.0660064427528637,0.0,0.43935643564356436
F::Paenibacillus sp. FSL R5-0912,Paenibacillus sp. FSL R5-0912,Paenibacillus sp. F...,microbe,1,0.0642841287584557,0.0,0.4358910891089109
F::Niastella koreensis,Niastella koreensis,Niastella koreensis,microbe,1,0.0542676321131406,0.0,0.4254950495049505
F::Paenibacillus borealis,Paenibacillus borealis,Paenibacillus borealis,microbe,1,0.0540009721741803,0.0,0.422029702970297
F::Pseudomonas sp. R4-34-07,Pseudomonas sp. R4-34-07,Pseudomonas sp. R4-...,microbe,1,0.0508820799555111,0.0,0.41856435643564355
F::Bradyrhizobium sp.,Bradyrhizobium sp.,Bradyrhizobium sp.,microbe,1,0.0495937215824742,0.0,0.4116336633663366
F::Streptomyces virus Amela,Streptomyces virus Amela,Streptomyces virus ...,microbe,1,0.0495161011524641,0.0,0.40816831683168314
F::Catenulispora acidiphila,Catenulispora acidiphila,Catenulispora acidi...,microbe,1,0.0458057877333668,0.0,0.39777227722772274
F::Paraburkholderia graminis,Paraburkholderia graminis,Paraburkholderia gr...,microbe,1,0.0453523729285862,0.0,0.39430693069306927
