gold_project_id,nmdc_omics_id,nmdc_biosample_id,sample_name_nmdc,sample_code,site,compartment
Gp0566775,nmdc:omprc-11-bsq1s043,nmdc:bsm-11-yxxvqg27,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL1_34_5 rhizosphere",BESC-258-CL1_34_5,Clatskanie,rhizosphere
Gp0566776,nmdc:omprc-11-7gphhj92,nmdc:bsm-11-8ah8pz02,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL2_67_23 rhizosphere",BESC-258-CL2_67_23,Clatskanie,rhizosphere
Gp0566777,nmdc:omprc-11-mjan5h90,nmdc:bsm-11-18btad96,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-285-CL1_33_12 rhizosphere",BESC-285-CL1_33_12,Clatskanie,rhizosphere
Gp0566778,nmdc:omprc-11-nt8w4894,nmdc:bsm-11-2a37n046,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-285-CL2_56_7 rhizosphere",BESC-285-CL2_56_7,Clatskanie,rhizosphere
Gp0566779,nmdc:omprc-11-q4yn6g86,nmdc:bsm-11-5snc2s56,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-307-CL1_26_33 rhizosphere",BESC-307-CL1_26_33,Clatskanie,rhizosphere
Gp0566780,nmdc:omprc-11-1bjtr279,nmdc:bsm-11-vc1cgz17,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-307-CL2_57_8 rhizosphere",BESC-307-CL2_57_8,Clatskanie,rhizosphere
Gp0566781,nmdc:omprc-11-fkyvpb88,nmdc:bsm-11-6ntzv433,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co1_31_6 rhizosphere",BESC-307-Co1_31_6,Corvallis,rhizosphere
Gp0566782,nmdc:omprc-11-z0xbmv07,nmdc:bsm-11-arjq1c41,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co2_62_14 rhizosphere",BESC-307-Co2_62_14,Corvallis,rhizosphere
Gp0566783,nmdc:omprc-11-2h4zb150,nmdc:bsm-11-rtchk112,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co3_27_41 rhizosphere",BESC-307-Co3_27_41,Corvallis,rhizosphere
Gp0566784,nmdc:omprc-11-kp34a407,nmdc:bsm-11-2g6d7w97,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-331-CL2_55_18 rhizosphere",BESC-331-CL2_55_18,Clatskanie,rhizosphere
Gp0566785,nmdc:omprc-11-hxwn2f73,nmdc:bsm-11-ga8cav80,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co1_12_7 rhizosphere",BESC-331-Co1_12_7,Corvallis,rhizosphere
Gp0566786,nmdc:omprc-11-15f0b156,nmdc:bsm-11-wpsg6186,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co2_50_17 rhizosphere",BESC-331-Co2_50_17,Corvallis,rhizosphere
Gp0566787,nmdc:omprc-11-8jsr7q35,nmdc:bsm-11-azfn2405,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co3_15_40 rhizosphere",BESC-331-Co3_15_40,Corvallis,rhizosphere
Gp0566788,nmdc:omprc-11-q30txq04,nmdc:bsm-11-ce1sg012,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-351-CL1_27_10 rhizosphere",BESC-351-CL1_27_10,Clatskanie,rhizosphere
Gp0566789,nmdc:omprc-11-8tca1356,nmdc:bsm-11-s110fy15,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-351-CL2_54_28 rhizosphere",BESC-351-CL2_54_28,Clatskanie,rhizosphere
Gp0566790,nmdc:omprc-11-n8hwe938,nmdc:bsm-11-zxvekh84,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-351-CL3_84_27 rhizosphere",BESC-351-CL3_84_27,Clatskanie,rhizosphere
Gp0566791,nmdc:omprc-11-qaf2qr08,nmdc:bsm-11-k7fkcz65,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co1_10_3 rhizosphere",BESC-351-Co1_10_3,Corvallis,rhizosphere
Gp0566792,nmdc:omprc-11-2t2za170,nmdc:bsm-11-hhb2g180,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co2_42_17 rhizosphere",BESC-351-Co2_42_17,Corvallis,rhizosphere
Gp0566793,nmdc:omprc-11-kbg5fy90,nmdc:bsm-11-z1r5gy96,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co3_11_46 rhizosphere",BESC-351-Co3_11_46,Corvallis,rhizosphere
Gp0566794,nmdc:omprc-11-7snzfp19,nmdc:bsm-11-adzwqg44,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-360-CL2_44_14 rhizosphere",BESC-360-CL2_44_14,Clatskanie,rhizosphere
Gp0566795,nmdc:omprc-11-jmvm6t29,nmdc:bsm-11-3zh6yy26,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-360-CL3_72_12 rhizosphere",BESC-360-CL3_72_12,Clatskanie,rhizosphere
Gp0566796,nmdc:omprc-11-ryb4mk96,nmdc:bsm-11-4yy9a239,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co2_62_25 rhizosphere",BESC-360-Co2_62_25,Corvallis,rhizosphere
Gp0566797,nmdc:omprc-11-s689qv26,nmdc:bsm-11-v85xpj21,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co3_13_34 rhizosphere",BESC-360-Co3_13_34,Corvallis,rhizosphere
Gp0566798,nmdc:omprc-11-xkjhfw19,nmdc:bsm-11-9gmcv191,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-388-CL1_25_34 rhizosphere",BESC-388-CL1_25_34,Clatskanie,rhizosphere
Gp0566799,nmdc:omprc-11-vzaqys60,nmdc:bsm-11-nn5snj10,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-388-CL2_50_4 rhizosphere",BESC-388-CL2_50_4,Clatskanie,rhizosphere
Gp0566800,nmdc:omprc-11-1ds16773,nmdc:bsm-11-4ep6tc76,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-388-CL3_88_3 rhizosphere",BESC-388-CL3_88_3,Clatskanie,rhizosphere
Gp0566801,nmdc:omprc-11-etfch731,nmdc:bsm-11-45z1kv27,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co1_32_7 rhizosphere",BESC-388-Co1_32_7,Corvallis,rhizosphere
Gp0566802,nmdc:omprc-11-rqvv3213,nmdc:bsm-11-05dve909,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co2_54_7 rhizosphere",BESC-388-Co2_54_7,Corvallis,rhizosphere
Gp0566803,nmdc:omprc-11-8zp5bz78,nmdc:bsm-11-4htstp40,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co3_8_57 rhizosphere",BESC-388-Co3_8_57,Corvallis,rhizosphere
Gp0566804,nmdc:omprc-11-gce3vs06,nmdc:bsm-11-spzb5g89,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-448-CL1_35_3 rhizosphere",BESC-448-CL1_35_3,Clatskanie,rhizosphere
Gp0566805,nmdc:omprc-11-fp334636,nmdc:bsm-11-vcna9q80,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-448-CL3_88_32 rhizosphere",BESC-448-CL3_88_32,Clatskanie,rhizosphere
Gp0566806,nmdc:omprc-11-qa8k2807,nmdc:bsm-11-1r59n445,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-470-CL2_38_23 rhizosphere",BESC-470-CL2_38_23,Clatskanie,rhizosphere
Gp0566807,nmdc:omprc-11-r64xh422,nmdc:bsm-11-90vp2x95,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co1_22_4 rhizosphere",BESC-56-Co1_22_4,Corvallis,rhizosphere
Gp0566808,nmdc:omprc-11-29ct3y80,nmdc:bsm-11-e9z5qp65,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co2_51_16 rhizosphere",BESC-56-Co2_51_16,Corvallis,rhizosphere
Gp0566809,nmdc:omprc-11-92rmyt64,nmdc:bsm-11-sqpv6146,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co3_6_53 rhizosphere",BESC-56-Co3_6_53,Corvallis,rhizosphere
Gp0566810,nmdc:omprc-11-v92b3270,nmdc:bsm-11-fr4c9n11,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL2_42_16 rhizosphere",BESC-833-CL2_42_16,Clatskanie,rhizosphere
Gp0566811,nmdc:omprc-11-8jf3qt91,nmdc:bsm-11-at9sda86,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL3_77_6 rhizosphere",BESC-833-CL3_77_6,Clatskanie,rhizosphere
Gp0566812,nmdc:omprc-11-xrfpwb88,nmdc:bsm-11-j8ezj858,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co1_6_4 rhizosphere",BESC-833-Co1_6_4,Corvallis,rhizosphere
Gp0566813,nmdc:omprc-11-sda21w50,nmdc:bsm-11-bd18tk15,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co2_47_23 rhizosphere",BESC-833-Co2_47_23,Corvallis,rhizosphere
Gp0566814,nmdc:omprc-11-5p61j106,nmdc:bsm-11-pejvvs20,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co3_31_37 rhizosphere",BESC-833-Co3_31_37,Corvallis,rhizosphere
Gp0566815,nmdc:omprc-11-xrrafx26,nmdc:bsm-11-vv577p15,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL1_31_22 rhizosphere",BESC-845-CL1_31_22,Clatskanie,rhizosphere
Gp0566816,nmdc:omprc-11-qh0e4z95,nmdc:bsm-11-adwwk217,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL2_37_16 rhizosphere",BESC-845-CL2_37_16,Clatskanie,rhizosphere
Gp0566817,nmdc:omprc-11-z2frm294,nmdc:bsm-11-szd4fj93,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL3_80_19 rhizosphere",BESC-845-CL3_80_19,Clatskanie,rhizosphere
Gp0566818,nmdc:omprc-11-qpwmky78,nmdc:bsm-11-wpye0n32,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co1_24_3 rhizosphere",BESC-845-Co1_24_3,Corvallis,rhizosphere
Gp0566819,nmdc:omprc-11-9qy7z255,nmdc:bsm-11-hae6xn61,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co2_60_28 rhizosphere",BESC-845-Co2_60_28,Corvallis,rhizosphere
Gp0566820,nmdc:omprc-11-x6251m82,nmdc:bsm-11-v1ynyj85,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co3_28_42 rhizosphere",BESC-845-Co3_28_42,Corvallis,rhizosphere
Gp0566821,nmdc:omprc-11-h304ns26,nmdc:bsm-11-zmsv5494,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL1_28_5 rhizosphere",BESC-847-CL1_28_5,Clatskanie,rhizosphere
Gp0566822,nmdc:omprc-11-2as6zb15,nmdc:bsm-11-rbzk5h49,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL2_38_7 rhizosphere",BESC-847-CL2_38_7,Clatskanie,rhizosphere
Gp0566823,nmdc:omprc-11-ss5p6584,nmdc:bsm-11-pgfhya35,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL3_83_27 rhizosphere",BESC-847-CL3_83_27,Clatskanie,rhizosphere
Gp0566824,nmdc:omprc-11-494r4q06,nmdc:bsm-11-qyx7qs76,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co1_12_9 rhizosphere",BESC-847-Co1_12_9,Corvallis,rhizosphere
Gp0566825,nmdc:omprc-11-86xftb40,nmdc:bsm-11-67dmq694,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co2_69_13 rhizosphere",BESC-847-Co2_69_13,Corvallis,rhizosphere
Gp0566826,nmdc:omprc-11-nq5g8m55,nmdc:bsm-11-jrahe581,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co3_9_34 rhizosphere",BESC-847-Co3_9_34,Corvallis,rhizosphere
Gp0566827,nmdc:omprc-11-1p1ngs84,nmdc:bsm-11-7bbm7795,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-86-CL2_69_17 rhizosphere",BESC-86-CL2_69_17,Clatskanie,rhizosphere
Gp0566828,nmdc:omprc-11-qhbjkg04,nmdc:bsm-11-7j0fnc87,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL2_50_11 rhizosphere",BESC-866-CL2_50_11,Clatskanie,rhizosphere
Gp0566829,nmdc:omprc-11-q3cqjx42,nmdc:bsm-11-7n6p8d80,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL3_75_7 rhizosphere",BESC-866-CL3_75_7,Clatskanie,rhizosphere
Gp0566830,nmdc:omprc-11-7dxxhc53,nmdc:bsm-11-8wd4pp40,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co1_10_5 rhizosphere",BESC-866-Co1_10_5,Corvallis,rhizosphere
Gp0566831,nmdc:omprc-11-rt7na349,nmdc:bsm-11-tzp7r259,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co2_58_19 rhizosphere",BESC-866-Co2_58_19,Corvallis,rhizosphere
Gp0566832,nmdc:omprc-11-mpkt1x42,nmdc:bsm-11-kz54ep97,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co3_27_48 rhizosphere",BESC-866-Co3_27_48,Corvallis,rhizosphere
Gp0566833,nmdc:omprc-11-tkwvvm24,nmdc:bsm-11-nvgcpg87,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-904-CL2_57_20 rhizosphere",BESC-904-CL2_57_20,Clatskanie,rhizosphere
Gp0566834,nmdc:omprc-11-hdb69470,nmdc:bsm-11-xgrda154,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-904-CL3_91_3 rhizosphere",BESC-904-CL3_91_3,Clatskanie,rhizosphere
Gp0566835,nmdc:omprc-11-renj2a23,nmdc:bsm-11-cd09p052,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co1_5_9 rhizosphere",BESC-904-Co1_5_9,Corvallis,rhizosphere
Gp0566836,nmdc:omprc-11-r2fe4498,nmdc:bsm-11-9rcfa470,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co2_51_17 rhizosphere",BESC-904-Co2_51_17,Corvallis,rhizosphere
Gp0566837,nmdc:omprc-11-nmtj1g51,nmdc:bsm-11-6zd5nb38,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 rhizosphere",BESC-904-Co3_16_51,Corvallis,rhizosphere
Gp0566838,nmdc:omprc-11-q22m9z88,nmdc:bsm-11-8eypa967,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-905-CL1_32_20 rhizosphere",BESC-905-CL1_32_20,Clatskanie,rhizosphere
Gp0566839,nmdc:omprc-11-f6693016,nmdc:bsm-11-k7v09098,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co1_23_6 rhizosphere",BESC-360-Co1_23_6,Corvallis,rhizosphere
Gp0566840,nmdc:omprc-11-m3hwb437,nmdc:bsm-11-wdfz5578,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL1_23_5 rhizosphere",GW-11047-CL1_23_5,Clatskanie,rhizosphere
Gp0566841,nmdc:omprc-11-dbwxze79,nmdc:bsm-11-kff3y587,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL2_41_30 rhizosphere",GW-11047-CL2_41_30,Clatskanie,rhizosphere
Gp0566842,nmdc:omprc-11-zcn33x50,nmdc:bsm-11-wj8zqj74,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL1_25_23 rhizosphere",GW-4579-CL1_25_23,Clatskanie,rhizosphere
Gp0566843,nmdc:omprc-11-7yr4zy92,nmdc:bsm-11-6y2dt532,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL2_50_20 rhizosphere",GW-4579-CL2_50_20,Clatskanie,rhizosphere
Gp0566844,nmdc:omprc-11-0xn8jm51,nmdc:bsm-11-kgjz0433,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co1_14_4 rhizosphere",GW-4579-Co1_14_4,Corvallis,rhizosphere
Gp0566845,nmdc:omprc-11-vkqkts70,nmdc:bsm-11-6pr72x09,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co2_44_8 rhizosphere",GW-4579-Co2_44_8,Corvallis,rhizosphere
Gp0566846,nmdc:omprc-11-8jy3ag45,nmdc:bsm-11-011z7z70,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co3_14_51 rhizosphere",GW-4579-Co3_14_51,Corvallis,rhizosphere
Gp0566847,nmdc:omprc-11-dvgq4712,nmdc:bsm-11-kgm2s608,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co1_37_5 rhizosphere",GW-7986-Co1_37_5,Corvallis,rhizosphere
Gp0566848,nmdc:omprc-11-c76snb89,nmdc:bsm-11-thpb7b07,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co2_68_28 rhizosphere",GW-7986-Co2_68_28,Corvallis,rhizosphere
Gp0566849,nmdc:omprc-11-f1jzfj58,nmdc:bsm-11-jqwsb466,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co3_31_39 rhizosphere",GW-7986-Co3_31_39,Corvallis,rhizosphere
Gp0566850,nmdc:omprc-11-2qzhhf43,nmdc:bsm-11-ahpvvb55,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL1_34_16 rhizosphere",GW-9591-CL1_34_16,Clatskanie,rhizosphere
Gp0566851,nmdc:omprc-11-4zkng696,nmdc:bsm-11-57ejpn32,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL2_56_12 rhizosphere",GW-9591-CL2_56_12,Clatskanie,rhizosphere
Gp0566852,nmdc:omprc-11-gss4bg21,nmdc:bsm-11-xhbae603,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL3_98_5 rhizosphere",GW-9591-CL3_98_5,Clatskanie,rhizosphere
Gp0566853,nmdc:omprc-11-fcj94k15,nmdc:bsm-11-yms2f086,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co1_16_8 rhizosphere",GW-9591-Co1_16_8,Corvallis,rhizosphere
Gp0566854,nmdc:omprc-11-mbmg9942,nmdc:bsm-11-4f4btc22,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co2_62_24 rhizosphere",GW-9591-Co2_62_24,Corvallis,rhizosphere
Gp0566855,nmdc:omprc-11-dtvtbx79,nmdc:bsm-11-0xqxvc88,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co3_35_48 rhizosphere",GW-9591-Co3_35_48,Corvallis,rhizosphere
Gp0566856,nmdc:omprc-11-vn7cxy98,nmdc:bsm-11-aan31e03,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - SKWA-24-3-CL2_69_25 rhizosphere",SKWA-24-3-CL2_69_25,Clatskanie,rhizosphere
Gp0566857,nmdc:omprc-11-7hm4yy12,nmdc:bsm-11-zqaeph53,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co1_3_5 rhizosphere",SKWA-24-3-Co1_3_5,Corvallis,rhizosphere
Gp0566858,nmdc:omprc-11-4rh8w698,nmdc:bsm-11-4pc4k424,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co2_41_10 rhizosphere",SKWA-24-3-Co2_41_10,Corvallis,rhizosphere
Gp0566859,nmdc:omprc-11-qhvwpf30,nmdc:bsm-11-7yjtg159,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co3_23_35 rhizosphere",SKWA-24-3-Co3_23_35,Corvallis,rhizosphere
Gp0566860,nmdc:omprc-11-v6mmpc15,nmdc:bsm-11-af8ap759,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - SKWD-24-1-CL2_58_25 rhizosphere",SKWD-24-1-CL2_58_25,Clatskanie,rhizosphere
Gp0566861,nmdc:omprc-11-rcy9x023,nmdc:bsm-11-hx8qxc63,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co1_7_5 rhizosphere",SKWD-24-1-Co1_7_5,Corvallis,rhizosphere
Gp0566862,nmdc:omprc-11-x43zee65,nmdc:bsm-11-wm40z541,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co2_54_22 rhizosphere",SKWD-24-1-Co2_54_22,Corvallis,rhizosphere
Gp0566863,nmdc:omprc-11-pkbnmb74,nmdc:bsm-11-1a9d1633,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co3_24_32 rhizosphere",SKWD-24-1-Co3_24_32,Corvallis,rhizosphere
Gp0587733,nmdc:omprc-11-eb79f083,nmdc:bsm-11-g4rxzh95,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL1_35_33 endosphere",BESC-13-CL1_35_33,Clatskanie,endosphere
Gp0587734,nmdc:omprc-11-647h4c79,nmdc:bsm-11-b7pv2a25,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL2_39_29 endosphere",BESC-13-CL2_39_29,Clatskanie,endosphere
Gp0587735,nmdc:omprc-11-dzw3rn23,nmdc:bsm-11-jq2e3v76,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-13-CL3_85_26 endosphere",BESC-13-CL3_85_26,Clatskanie,endosphere
Gp0587736,nmdc:omprc-11-ahxgs306,nmdc:bsm-11-epzqzg45,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co1_30_3 endosphere",BESC-13-Co1_30_3,Corvallis,endosphere
Gp0587737,nmdc:omprc-11-qdh5nf86,nmdc:bsm-11-ahfq0n74,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co2_41_23 endosphere",BESC-13-Co2_41_23,Corvallis,endosphere
Gp0587738,nmdc:omprc-11-xw537529,nmdc:bsm-11-4838sk73,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co3_21_57 endosphere",BESC-13-Co3_21_57,Corvallis,endosphere
Gp0587739,nmdc:omprc-11-jps67j44,nmdc:bsm-11-7pyrek52,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL1_28_16 endosphere",BESC-133-CL1_28_16,Clatskanie,endosphere
Gp0587740,nmdc:omprc-11-pn40gb51,nmdc:bsm-11-m9k8tx16,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL2_62_7 endosphere",BESC-133-CL2_62_7,Clatskanie,endosphere
Gp0587741,nmdc:omprc-11-rcj05d91,nmdc:bsm-11-fgjpsy56,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-133-CL3_93_10 endosphere",BESC-133-CL3_93_10,Clatskanie,endosphere
Gp0587742,nmdc:omprc-11-jsm90k97,nmdc:bsm-11-sdjyhj66,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co1_27_3 endosphere",BESC-133-Co1_27_3,Corvallis,endosphere
Gp0587743,nmdc:omprc-11-2cjz3t37,nmdc:bsm-11-dz264p50,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co2_50_25 endosphere",BESC-133-Co2_50_25,Corvallis,endosphere
Gp0587745,nmdc:omprc-11-33wazx92,nmdc:bsm-11-766dwa91,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL2_38_5 endosphere",BESC-198-CL2_38_5,Clatskanie,endosphere
Gp0587746,nmdc:omprc-11-4wtbr816,nmdc:bsm-11-cqbpqf62,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-198-CL3_81_33 endosphere",BESC-198-CL3_81_33,Clatskanie,endosphere
Gp0587747,nmdc:omprc-11-xdh9bh40,nmdc:bsm-11-69g1rw32,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL1_24_28 endosphere",BESC-234-CL1_24_28,Clatskanie,endosphere
Gp0587748,nmdc:omprc-11-j5dnhh98,nmdc:bsm-11-vp7n5531,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-234-CL2_65_22 endosphere",BESC-234-CL2_65_22,Clatskanie,endosphere
Gp0587749,nmdc:omprc-11-3753dg30,nmdc:bsm-11-62fxv990,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co1_23_3 endosphere",BESC-234-Co1_23_3,Corvallis,endosphere
Gp0587750,nmdc:omprc-11-mdnayc74,nmdc:bsm-11-dtyb1w45,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co2_52_27 endosphere",BESC-234-Co2_52_27,Corvallis,endosphere
Gp0587751,nmdc:omprc-11-z30ebf62,nmdc:bsm-11-qvm0vt03,"Root microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co3_21_62 endosphere",BESC-234-Co3_21_62,Corvallis,endosphere
Gp0587752,nmdc:omprc-11-er3f1k45,nmdc:bsm-11-nx7zwq61,"Root microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-258-CL1_34_5 endosphere",BESC-258-CL1_34_5,Clatskanie,endosphere
