gold_project_id,nmdc_omics_id,nmdc_biosample_id,sample_name_nmdc,sample_code,site,compartment
Gp0566679,nmdc:omprc-11-6avzwc68,nmdc:bsm-11-1r4br749,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co3_8_57 soil",BESC-388-Co3_8_57,Corvallis,soil
Gp0566680,nmdc:omprc-11-7xcdc888,nmdc:bsm-11-9k1chb38,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-448-CL1_35_3 soil",BESC-448-CL1_35_3,Clatskanie,soil
Gp0566681,nmdc:omprc-11-9jm3t448,nmdc:bsm-11-qs0hz846,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-448-CL3_88_32 soil",BESC-448-CL3_88_32,Clatskanie,soil
Gp0566682,nmdc:omprc-11-4dp2n094,nmdc:bsm-11-f07yn383,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-470-CL2_38_23 soil",BESC-470-CL2_38_23,Clatskanie,soil
Gp0566683,nmdc:omprc-11-sjb0gz53,nmdc:bsm-11-6v9t8f56,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co1_22_4 soil",BESC-56-Co1_22_4,Corvallis,soil
Gp0566684,nmdc:omprc-11-zz6tgr50,nmdc:bsm-11-gng9wj69,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co2_51_16 soil",BESC-56-Co2_51_16,Corvallis,soil
Gp0566685,nmdc:omprc-11-dy2m3p30,nmdc:bsm-11-61a55c09,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co3_6_53 soil",BESC-56-Co3_6_53,Corvallis,soil
Gp0566686,nmdc:omprc-11-5ghk8986,nmdc:bsm-11-1eybv881,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL2_42_16 soil",BESC-833-CL2_42_16,Clatskanie,soil
Gp0566687,nmdc:omprc-11-wet0zx04,nmdc:bsm-11-535b4v37,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL3_77_6 soil",BESC-833-CL3_77_6,Clatskanie,soil
Gp0566688,nmdc:omprc-11-8gbac881,nmdc:bsm-11-1dpnqj50,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co1_6_4 soil",BESC-833-Co1_6_4,Corvallis,soil
Gp0566689,nmdc:omprc-11-rn3qq688,nmdc:bsm-11-gq2m5921,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co2_47_23 soil",BESC-833-Co2_47_23,Corvallis,soil
Gp0566690,nmdc:omprc-11-1jryza97,nmdc:bsm-11-w4cc0w75,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co3_31_37 soil",BESC-833-Co3_31_37,Corvallis,soil
Gp0566691,nmdc:omprc-11-7wq1kx66,nmdc:bsm-11-66de0v28,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL1_31_22 soil",BESC-845-CL1_31_22,Clatskanie,soil
Gp0566692,nmdc:omprc-11-x7341g98,nmdc:bsm-11-g2zcz598,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL2_37_16 soil",BESC-845-CL2_37_16,Clatskanie,soil
Gp0566693,nmdc:omprc-11-zrbv5054,nmdc:bsm-11-2k7det13,"Bulk soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL3_80_19 soil",BESC-845-CL3_80_19,Clatskanie,soil
Gp0566694,nmdc:omprc-11-vb9w9774,nmdc:bsm-11-hx03gs06,"Bulk soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co1_24_3 soil",BESC-845-Co1_24_3,Corvallis,soil
