biosample_id,metabolomics_run_count,metabolomics_run_ids
nmdc:bsm-11-5g2kjf44,4,nmdc:dgms-12-nh3y8e36;nmdc:dgms-12-835zwt43;nmdc:dgms-12-atz69e68;nmdc:dgms-12-n6ymnt88
nmdc:bsm-11-5j742c82,4,nmdc:dgms-12-3rzgyp88;nmdc:dgms-12-8ngfnr91;nmdc:dgms-12-52tkp865;nmdc:dgms-12-e1bv2b39
nmdc:bsm-11-5rgay328,4,nmdc:dgms-12-f2mw9f55;nmdc:dgms-12-kbc5bq85;nmdc:dgms-12-tpxtqc12;nmdc:dgms-12-1m5t3849
nmdc:bsm-11-5snc2s56,4,nmdc:dgms-12-zwwepk56;nmdc:dgms-12-2ex44683;nmdc:dgms-12-bs4et404;nmdc:dgms-12-2va5ap74
nmdc:bsm-11-5w4ba396,4,nmdc:dgms-12-8n33tf07;nmdc:dgms-12-q9hasp10;nmdc:dgms-12-0p5hxt79;nmdc:dgms-12-69qz7g31
nmdc:bsm-11-61xfks69,4,nmdc:dgms-12-cy0cw042;nmdc:dgms-12-eqxtbd04;nmdc:dgms-12-1e5j2797;nmdc:dgms-12-8ra73772
nmdc:bsm-11-62fxv990,4,nmdc:dgms-12-qkvpdp63;nmdc:dgms-12-a4w9r164;nmdc:dgms-12-1gr8e509;nmdc:dgms-12-am91te09
nmdc:bsm-11-674m9194,4,nmdc:dgms-12-hd59kx68;nmdc:dgms-12-ae4e0w98;nmdc:dgms-12-fhqhyj92;nmdc:dgms-12-xy27k277
nmdc:bsm-11-678ndj04,4,nmdc:dgms-12-jjm17v47;nmdc:dgms-12-7j9w0t53;nmdc:dgms-12-f1w6ey52;nmdc:dgms-12-gd4rb567
nmdc:bsm-11-67dmq694,4,nmdc:dgms-12-gcexgj72;nmdc:dgms-12-z1bbtn11;nmdc:dgms-12-zz9whr83;nmdc:dgms-12-284jgp29
nmdc:bsm-11-69g1rw32,4,nmdc:dgms-12-afmhe265;nmdc:dgms-12-8xayka46;nmdc:dgms-12-cym27n39;nmdc:dgms-12-93yc5167
nmdc:bsm-11-6k8cmy53,4,nmdc:dgms-12-b0k97903;nmdc:dgms-12-ery64t33;nmdc:dgms-12-mhpvds59;nmdc:dgms-12-hkqa9p05
nmdc:bsm-11-6m5dma62,4,nmdc:dgms-12-5kzpjq76;nmdc:dgms-12-fjb7fg67;nmdc:dgms-12-kc2gyt83;nmdc:dgms-12-h37xb105
