nmdc_biosample_id,sample_name_nmdc,sample_code,site,compartment,env_medium
nmdc:bsm-11-fr4c9n11,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL2_42_16 rhizosphere",BESC-833-CL2_42_16,Clatskanie,rhizosphere,soil
nmdc:bsm-11-at9sda86,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-833-CL3_77_6 rhizosphere",BESC-833-CL3_77_6,Clatskanie,rhizosphere,soil
nmdc:bsm-11-vv577p15,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL1_31_22 rhizosphere",BESC-845-CL1_31_22,Clatskanie,rhizosphere,soil
nmdc:bsm-11-adwwk217,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL2_37_16 rhizosphere",BESC-845-CL2_37_16,Clatskanie,rhizosphere,soil
nmdc:bsm-11-szd4fj93,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-845-CL3_80_19 rhizosphere",BESC-845-CL3_80_19,Clatskanie,rhizosphere,soil
nmdc:bsm-11-zmsv5494,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL1_28_5 rhizosphere",BESC-847-CL1_28_5,Clatskanie,rhizosphere,soil
nmdc:bsm-11-rbzk5h49,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL2_38_7 rhizosphere",BESC-847-CL2_38_7,Clatskanie,rhizosphere,soil
nmdc:bsm-11-pgfhya35,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-847-CL3_83_27 rhizosphere",BESC-847-CL3_83_27,Clatskanie,rhizosphere,soil
nmdc:bsm-11-7bbm7795,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-86-CL2_69_17 rhizosphere",BESC-86-CL2_69_17,Clatskanie,rhizosphere,soil
nmdc:bsm-11-7j0fnc87,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL2_50_11 rhizosphere",BESC-866-CL2_50_11,Clatskanie,rhizosphere,soil
nmdc:bsm-11-7n6p8d80,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-866-CL3_75_7 rhizosphere",BESC-866-CL3_75_7,Clatskanie,rhizosphere,soil
nmdc:bsm-11-nvgcpg87,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-904-CL2_57_20 rhizosphere",BESC-904-CL2_57_20,Clatskanie,rhizosphere,soil
nmdc:bsm-11-xgrda154,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-904-CL3_91_3 rhizosphere",BESC-904-CL3_91_3,Clatskanie,rhizosphere,soil
nmdc:bsm-11-8eypa967,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - BESC-905-CL1_32_20 rhizosphere",BESC-905-CL1_32_20,Clatskanie,rhizosphere,soil
nmdc:bsm-11-wdfz5578,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL1_23_5 rhizosphere",GW-11047-CL1_23_5,Clatskanie,rhizosphere,soil
nmdc:bsm-11-kff3y587,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-11047-CL2_41_30 rhizosphere",GW-11047-CL2_41_30,Clatskanie,rhizosphere,soil
nmdc:bsm-11-wj8zqj74,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL1_25_23 rhizosphere",GW-4579-CL1_25_23,Clatskanie,rhizosphere,soil
nmdc:bsm-11-6y2dt532,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-4579-CL2_50_20 rhizosphere",GW-4579-CL2_50_20,Clatskanie,rhizosphere,soil
nmdc:bsm-11-ahpvvb55,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL1_34_16 rhizosphere",GW-9591-CL1_34_16,Clatskanie,rhizosphere,soil
nmdc:bsm-11-57ejpn32,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL2_56_12 rhizosphere",GW-9591-CL2_56_12,Clatskanie,rhizosphere,soil
nmdc:bsm-11-xhbae603,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - GW-9591-CL3_98_5 rhizosphere",GW-9591-CL3_98_5,Clatskanie,rhizosphere,soil
nmdc:bsm-11-aan31e03,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - SKWA-24-3-CL2_69_25 rhizosphere",SKWA-24-3-CL2_69_25,Clatskanie,rhizosphere,soil
nmdc:bsm-11-af8ap759,"Rhizosphere soil microbial communities from poplar common garden site in Clatskanie, Oregon, USA - SKWD-24-1-CL2_58_25 rhizosphere",SKWD-24-1-CL2_58_25,Clatskanie,rhizosphere,soil
nmdc:bsm-11-97dgrv19,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co1_30_3 rhizosphere",BESC-13-Co1_30_3,Corvallis,rhizosphere,soil
nmdc:bsm-11-nz6f9964,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co2_41_23 rhizosphere",BESC-13-Co2_41_23,Corvallis,rhizosphere,soil
nmdc:bsm-11-f0st6436,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-13-Co3_21_57 rhizosphere",BESC-13-Co3_21_57,Corvallis,rhizosphere,soil
nmdc:bsm-11-h49t7j41,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co1_27_3 rhizosphere",BESC-133-Co1_27_3,Corvallis,rhizosphere,soil
nmdc:bsm-11-ad739z23,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co2_50_25 rhizosphere",BESC-133-Co2_50_25,Corvallis,rhizosphere,soil
nmdc:bsm-11-g9w69290,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-133-Co3_19_46 rhizosphere",BESC-133-Co3_19_46,Corvallis,rhizosphere,soil
nmdc:bsm-11-v0hqhp22,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co1_23_3 rhizosphere",BESC-234-Co1_23_3,Corvallis,rhizosphere,soil
nmdc:bsm-11-d1h1d248,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co2_52_27 rhizosphere",BESC-234-Co2_52_27,Corvallis,rhizosphere,soil
nmdc:bsm-11-da01b330,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-234-Co3_21_62 rhizosphere",BESC-234-Co3_21_62,Corvallis,rhizosphere,soil
nmdc:bsm-11-6ntzv433,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co1_31_6 rhizosphere",BESC-307-Co1_31_6,Corvallis,rhizosphere,soil
nmdc:bsm-11-arjq1c41,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co2_62_14 rhizosphere",BESC-307-Co2_62_14,Corvallis,rhizosphere,soil
nmdc:bsm-11-rtchk112,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-307-Co3_27_41 rhizosphere",BESC-307-Co3_27_41,Corvallis,rhizosphere,soil
nmdc:bsm-11-ga8cav80,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co1_12_7 rhizosphere",BESC-331-Co1_12_7,Corvallis,rhizosphere,soil
nmdc:bsm-11-wpsg6186,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co2_50_17 rhizosphere",BESC-331-Co2_50_17,Corvallis,rhizosphere,soil
nmdc:bsm-11-azfn2405,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-331-Co3_15_40 rhizosphere",BESC-331-Co3_15_40,Corvallis,rhizosphere,soil
nmdc:bsm-11-k7fkcz65,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co1_10_3 rhizosphere",BESC-351-Co1_10_3,Corvallis,rhizosphere,soil
nmdc:bsm-11-hhb2g180,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co2_42_17 rhizosphere",BESC-351-Co2_42_17,Corvallis,rhizosphere,soil
nmdc:bsm-11-z1r5gy96,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-351-Co3_11_46 rhizosphere",BESC-351-Co3_11_46,Corvallis,rhizosphere,soil
nmdc:bsm-11-k7v09098,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co1_23_6 rhizosphere",BESC-360-Co1_23_6,Corvallis,rhizosphere,soil
nmdc:bsm-11-4yy9a239,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co2_62_25 rhizosphere",BESC-360-Co2_62_25,Corvallis,rhizosphere,soil
nmdc:bsm-11-v85xpj21,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-360-Co3_13_34 rhizosphere",BESC-360-Co3_13_34,Corvallis,rhizosphere,soil
nmdc:bsm-11-45z1kv27,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co1_32_7 rhizosphere",BESC-388-Co1_32_7,Corvallis,rhizosphere,soil
nmdc:bsm-11-05dve909,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co2_54_7 rhizosphere",BESC-388-Co2_54_7,Corvallis,rhizosphere,soil
nmdc:bsm-11-4htstp40,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-388-Co3_8_57 rhizosphere",BESC-388-Co3_8_57,Corvallis,rhizosphere,soil
nmdc:bsm-11-90vp2x95,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co1_22_4 rhizosphere",BESC-56-Co1_22_4,Corvallis,rhizosphere,soil
nmdc:bsm-11-e9z5qp65,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co2_51_16 rhizosphere",BESC-56-Co2_51_16,Corvallis,rhizosphere,soil
nmdc:bsm-11-sqpv6146,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-56-Co3_6_53 rhizosphere",BESC-56-Co3_6_53,Corvallis,rhizosphere,soil
nmdc:bsm-11-j8ezj858,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co1_6_4 rhizosphere",BESC-833-Co1_6_4,Corvallis,rhizosphere,soil
nmdc:bsm-11-bd18tk15,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co2_47_23 rhizosphere",BESC-833-Co2_47_23,Corvallis,rhizosphere,soil
nmdc:bsm-11-pejvvs20,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-833-Co3_31_37 rhizosphere",BESC-833-Co3_31_37,Corvallis,rhizosphere,soil
nmdc:bsm-11-wpye0n32,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co1_24_3 rhizosphere",BESC-845-Co1_24_3,Corvallis,rhizosphere,soil
nmdc:bsm-11-hae6xn61,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co2_60_28 rhizosphere",BESC-845-Co2_60_28,Corvallis,rhizosphere,soil
nmdc:bsm-11-v1ynyj85,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-845-Co3_28_42 rhizosphere",BESC-845-Co3_28_42,Corvallis,rhizosphere,soil
nmdc:bsm-11-qyx7qs76,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co1_12_9 rhizosphere",BESC-847-Co1_12_9,Corvallis,rhizosphere,soil
nmdc:bsm-11-67dmq694,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co2_69_13 rhizosphere",BESC-847-Co2_69_13,Corvallis,rhizosphere,soil
nmdc:bsm-11-jrahe581,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-847-Co3_9_34 rhizosphere",BESC-847-Co3_9_34,Corvallis,rhizosphere,soil
nmdc:bsm-11-8wd4pp40,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co1_10_5 rhizosphere",BESC-866-Co1_10_5,Corvallis,rhizosphere,soil
nmdc:bsm-11-tzp7r259,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co2_58_19 rhizosphere",BESC-866-Co2_58_19,Corvallis,rhizosphere,soil
nmdc:bsm-11-kz54ep97,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-866-Co3_27_48 rhizosphere",BESC-866-Co3_27_48,Corvallis,rhizosphere,soil
nmdc:bsm-11-cd09p052,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co1_5_9 rhizosphere",BESC-904-Co1_5_9,Corvallis,rhizosphere,soil
nmdc:bsm-11-9rcfa470,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co2_51_17 rhizosphere",BESC-904-Co2_51_17,Corvallis,rhizosphere,soil
nmdc:bsm-11-6zd5nb38,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - BESC-904-Co3_16_51 rhizosphere",BESC-904-Co3_16_51,Corvallis,rhizosphere,soil
nmdc:bsm-11-kgjz0433,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co1_14_4 rhizosphere",GW-4579-Co1_14_4,Corvallis,rhizosphere,soil
nmdc:bsm-11-6pr72x09,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co2_44_8 rhizosphere",GW-4579-Co2_44_8,Corvallis,rhizosphere,soil
nmdc:bsm-11-011z7z70,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-4579-Co3_14_51 rhizosphere",GW-4579-Co3_14_51,Corvallis,rhizosphere,soil
nmdc:bsm-11-kgm2s608,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co1_37_5 rhizosphere",GW-7986-Co1_37_5,Corvallis,rhizosphere,soil
nmdc:bsm-11-thpb7b07,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co2_68_28 rhizosphere",GW-7986-Co2_68_28,Corvallis,rhizosphere,soil
nmdc:bsm-11-jqwsb466,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-7986-Co3_31_39 rhizosphere",GW-7986-Co3_31_39,Corvallis,rhizosphere,soil
nmdc:bsm-11-yms2f086,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co1_16_8 rhizosphere",GW-9591-Co1_16_8,Corvallis,rhizosphere,soil
nmdc:bsm-11-4f4btc22,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co2_62_24 rhizosphere",GW-9591-Co2_62_24,Corvallis,rhizosphere,soil
nmdc:bsm-11-0xqxvc88,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - GW-9591-Co3_35_48 rhizosphere",GW-9591-Co3_35_48,Corvallis,rhizosphere,soil
nmdc:bsm-11-zqaeph53,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co1_3_5 rhizosphere",SKWA-24-3-Co1_3_5,Corvallis,rhizosphere,soil
nmdc:bsm-11-4pc4k424,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co2_41_10 rhizosphere",SKWA-24-3-Co2_41_10,Corvallis,rhizosphere,soil
nmdc:bsm-11-7yjtg159,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWA-24-3-Co3_23_35 rhizosphere",SKWA-24-3-Co3_23_35,Corvallis,rhizosphere,soil
nmdc:bsm-11-hx8qxc63,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co1_7_5 rhizosphere",SKWD-24-1-Co1_7_5,Corvallis,rhizosphere,soil
nmdc:bsm-11-wm40z541,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co2_54_22 rhizosphere",SKWD-24-1-Co2_54_22,Corvallis,rhizosphere,soil
nmdc:bsm-11-1a9d1633,"Rhizosphere soil microbial communities from poplar common garden site in Corvallis, Oregon, USA - SKWD-24-1-Co3_24_32 rhizosphere",SKWD-24-1-Co3_24_32,Corvallis,rhizosphere,soil
