chem__LBCeq (mg/kg CaCO3/pH dry weight),chem__LBC (mg/kg CaCO3/pH dry weight),chem__Ca (Mehlich 1 mg/kg dry weight),denit__Rate (microgN/kilogram dry weight soil/day),chem__K (Mehlich 1 mg/kg dry weight),chem__Mg (Mehlich 1 mg/kg dry weight),chem__P (Mehlich 1 mg/kg dry weight),psize__Soil Clay Content %,psize__Soil Silt Content %,moist__Replicate 1 Mass Water / Mass Dry Soil %,moist__Replicate 2 Mass Water / Mass Dry Soil %,moist__Replicate 3 Mass Water / Mass Dry Soil %,chem__Mn (Mehlich 1 mg/kg dry weight),chem__NO3-N (mg/kg dry weight),soil_NO3,psize__Soil Sand Content %,chem__NH4-N (mg/kg dry weight),soil_NH4,nitrif__Rate (mg NO3-N/kilogram dry weight soil/day),chem__Zn (Mehlich 1 mg/kg dry weight)
3961.4,1366.0,2551.59,,168.066,545.537,21.3277,13.14878893,53.13890262,30.98958333,30.38961039,29.45736434,35.7655,12.6325,12.6325,33.71230845,16.277,16.277,4.898899526,7.9568
3039.2,1048.0,2032.06,13.56967259,268.098,305.976,25.3928,12.66912669,56.58056581,27.87723785,26.01010101,26.01010101,43.5453,10.251,10.251,30.7503075,10.427,10.427,4.009341384,4.2006
3729.4,1286.0,2213.11,3.513527939,169.452,456.562,28.5028,11.62906025,50.83064716,5.263157895,4.592901879,5.25210084,38.0788,15.816,15.816,37.54029259,14.3565,14.3565,0.607784553,9.0923
,,,,,,,51.34194831,34.79125249,,,,,,,13.8667992,,,,
1795.1,619.0,2229.22,17.10206975,383.201,440.445,98.0889,41.93709436,41.63754368,10.61946903,12.10762332,11.85682327,20.3272,3.004,3.004,16.42536196,5.0705,5.0705,1.092153933,2.1278
2552.0,880.0,2571.42,47.69769947,233.794,437.842,32.6151,10.08588957,63.80368098,27.55102041,24.75,26.26262626,45.54,20.428,20.428,26.11042945,9.1955,9.1955,4.793261834,9.6995
3813.5,1315.0,2288.44,84.52389539,272.768,450.128,22.3361,21.45311733,50.31909671,26.26262626,26.64974619,25.06265664,39.2999,33.2955,33.2955,28.22778596,10.138,10.138,12.79423704,9.2886
1096.2,378.0,1860.34,6.73404814,499.004,337.385,127.807,66.30754163,18.80509305,3.726708075,4.384133612,4.166666667,16.0681,0.318,0.318,14.88736533,2.998,2.998,0.304519346,4.2715
3361.1,1159.0,2469.26,338.0932987,132.153,419.359,16.7191,13.8332096,58.1539223,26.19647355,27.87723785,35.32608696,53.867,12.808,12.808,28.0128681,15.8165,15.8165,5.627728364,7.7856
4080.3,1407.0,2293.48,143.7391205,143.954,379.192,20.4676,9.306930693,59.40594059,25.69269521,31.92612137,32.6259947,30.2824,12.703,12.703,31.28712871,11.2045,11.2045,4.045757983,5.1832
