,count,mean,std,min,25%,50%,75%,max
Sideroxydans lithotrophicus,105.0,0.00946666666666665,0.004680291465830754,0.003,0.005,0.009,0.012,0.026
Singulisphaera acidiphila,105.0,0.05228571428571427,0.03977018459119321,0.006,0.021,0.047,0.0699999999999999,0.208
Sphaerobacter thermophilus,105.0,0.021390476190476182,0.011266436913798467,0.004,0.012,0.022,0.0279999999999999,0.048
Sphaerochaeta coccoides,105.0,0.00039999999999999996,0.0004922475924854202,0.0,0.0,0.0,0.001,0.001
Sphaerochaeta globosa,105.0,0.0006095238095238096,0.0004901969403138297,0.0,0.0,0.001,0.001,0.001
Sphaerospermopsis kisseleviana,105.0,0.0006380952380952382,0.0005023753102820166,0.0,0.0,0.001,0.001,0.002
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,105.0,0.022514285714285702,0.06340636862664177,0.001,0.003,0.006,0.0139999999999999,0.527
Sphingobacterium mizutaii,105.0,0.0009714285714285717,0.00046939287417862484,0.0,0.001,0.001,0.001,0.002
Sphingobacterium sp. 21,105.0,0.0011809523809523813,0.000533150151691889,0.0,0.001,0.001,0.001,0.003
Sphingobacterium sp. B29,105.0,0.0008857142857142857,0.001003017425593372,0.0,0.0,0.001,0.001,0.009
Sphingobacterium sp. G1-14,105.0,0.0007142857142857144,0.0006462061726588641,0.0,0.0,0.001,0.001,0.005
Sphingobacterium sp. ML3W,105.0,0.0010476190476190477,0.0015955524265242886,0.0,0.001,0.001,0.001,0.015
Sphingobium baderi,105.0,0.019723809523809508,0.037369386699156064,0.004,0.009,0.011,0.016,0.3
Sphingobium chlorophenolicum,105.0,0.01870476190476189,0.030103962111299145,0.004,0.009,0.012,0.016,0.2239999999999999
Sphingobium cloacae,105.0,0.022523809523809512,0.02978322166993177,0.005,0.012,0.0139999999999999,0.022,0.215
Sphingobium herbicidovorans,105.0,0.011580952380952364,0.014647644174183096,0.003,0.006,0.008,0.01,0.11
Sphingobium hydrophobicum,105.0,0.028123809523809513,0.0696732339123822,0.004,0.009,0.012,0.02,0.519
Sphingobium indicum,105.0,0.005152380952380947,0.007629372582809543,0.001,0.003,0.003,0.005,0.059
Sphingobium japonicum,105.0,0.17624761904761904,0.1626963772557987,0.047,0.105,0.133,0.181,1.206
Sphingobium sp. EP60837,105.0,0.015457142857142843,0.020399391285897846,0.004,0.008,0.01,0.015,0.167
Sphingobium sp. MI1205,105.0,0.012971428571428557,0.016368624503356057,0.003,0.0069999999999999,0.009,0.012,0.12
Sphingobium sp. RAC03,105.0,0.034399999999999986,0.07906054155373103,0.005,0.011,0.0139999999999999,0.027,0.5559999999999999
Sphingobium sp. SCG-1,105.0,0.01479999999999999,0.011933630564984761,0.004,0.009,0.011,0.015,0.075
Sphingobium sp. SYK-6,105.0,0.024866666666666662,0.016034258196044985,0.008,0.016,0.02,0.026,0.1139999999999999
Sphingobium sp. TKS,105.0,0.025704761904761893,0.036443297318079215,0.006,0.0139999999999999,0.017,0.024,0.272
Sphingobium sp. YBL2,105.0,0.022866666666666657,0.03201894471266691,0.006,0.012,0.015,0.02,0.238
Sphingobium sp. YG1,105.0,0.11175238095238094,0.36459990666673503,0.0069999999999999,0.013,0.02,0.052,2.639
Sphingobium yanoikuyae,105.0,0.11238095238095239,0.28486820100072935,0.019,0.034,0.046,0.083,2.024
Sphingomonas hengshuiensis,105.0,0.04144761904761903,0.027446795018299625,0.009,0.025,0.033,0.046,0.16
Sphingomonas indica,105.0,0.03478095238095238,0.02857210209828843,0.01,0.02,0.023,0.038,0.157
Sphingomonas koreensis,105.0,0.038390476190476176,0.024470349105560084,0.01,0.023,0.031,0.044,0.121
Sphingomonas melonis,105.0,0.02447619047619046,0.014568865141177998,0.0069999999999999,0.015,0.02,0.0279999999999999,0.0809999999999999
Sphingomonas panacis,105.0,0.04901904761904762,0.026873271304824628,0.012,0.032,0.042,0.054,0.157
Sphingomonas sanxanigenens,105.0,0.04703809523809524,0.027892625096941574,0.013,0.031,0.038,0.052,0.169
Sphingomonas sp. Cra20,105.0,0.045352380952380957,0.032936997245434925,0.01,0.024,0.033,0.0559999999999999,0.174
Sphingomonas sp. FARSPH,105.0,0.03261904761904761,0.017643031394195176,0.008,0.021,0.027,0.039,0.094
Sphingomonas sp. JJ-A5,105.0,0.01521904761904761,0.007141402782341416,0.004,0.011,0.0139999999999999,0.016,0.041
