soil_column
soil_pH
soil_NH4
soil_NO3
soil_total_C
soil_total_N
Oligotropha carboxidovorans
Paenibacillus naphthalenovorans
Paenibacillus physcomitrellae
Paludisphaera borealis
Pannonibacter phragmitetus
Paraburkholderia phenoliruptrix
Paraburkholderia phymatum
Paraburkholderia phytofirmans
Paracoccus aminophilus
Paraglaciecola psychrophila
Pararhodospirillum photometricum
Pelodictyon phaeoclathratiforme
Peptoclostridium acidaminophilum
Persephonella marina
Phaeobacter gallaeciensis
Phaeobacter inhibens
Phaeobacter piscinae
Phaeobacter porticola
Phaeobacter sp. LSS9
Phenylobacterium sp. HYN0004
Phenylobacterium zucineum
Phoenicibacter massiliensis
Photobacterium damselae
Photobacterium gaetbulicola
Photorhabdus laumondii
Photorhabdus thracensis
Phreatobacter cathodiphilus
Phycicoccus dokdonensis
Phycisphaera mikurensis
Phyllobacterium zundukense
Phytobacter sp. SCO41
Phytobacter ursingii
Planctopirus limnophila
Polaromonas naphthalenivorans
Polymorphum gilvum
Polynucleobacter acidiphobus
Porphyrobacter HT-58-2
Porphyrobacter neustonensis
Porphyrobacter sp. CACIAM 03H1
Porphyrobacter sp. LM 6
Porphyromonas asaccharolytica
Porphyromonas gingivalis
Proteiniphilum saccharofermentans
Pseudarthrobacter chlorophenolicus
Pseudarthrobacter phenanthrenivorans
Pseudodesulfovibrio piezophilus
Pseudomonas alcaliphila
Pseudomonas alkylphenolica
Pseudomonas chlororaphis
Pseudomonas entomophila
Pseudomonas phage phiPsa374
Pseudomonas psychrophila
Pseudomonas rhizosphaerae
Pseudomonas saudiphocaensis
Pseudomonas sp. LPH1
Pseudomonas sp. phDV1
Rhizobacter gummiphilus
Rhizobium phage 16-3
Rhizobium phage RHEph10
Rhizobium phaseoli
Rhodobacter sphaeroides
Rhodococcus biphenylivorans
Rhodococcus coprophilus
Rhodovulum sulfidophilum
Rubinisphaera brasiliensis
Rubrobacter xylanophilus
Saccharophagus degradans
Salinisphaera sp. LB1
Sandaracinus amylolyticus
Sedimentisphaera cyanobacteriorum
Sedimentisphaera salicampi
Shewanella psychrophila
Sideroxydans lithotrophicus
Singulisphaera acidiphila
Sphaerobacter thermophilus
Sphaerochaeta coccoides
Sphaerochaeta globosa
Sphaerospermopsis kisseleviana
Sphingobacteriaceae bacterium GW460-11-11-14-LB5
