Field Sample ID,Technical Replicate,Rate (microgN/kilogram dry weight soil/day)
BESC-833-Co1_6_4,2,0.477520364
BESC-833-Co2_47_23,1,7.48438395
BESC-833-Co2_47_23,2,9.660462024
BESC-833-Co3_31_37,1,5.449192045
BESC-833-Co3_31_37,2,11.45721014
BESC-845-Co1_24_3,1,11.79111902
BESC-845-Co1_24_3,2,15.13504262
BESC-845-Co2_60_28,1,13.44406645
BESC-845-Co2_60_28,2,10.09577424
BESC-845-Co3_28_42,1,56.62116212
BESC-845-Co3_28_42,2,65.66054418
BESC-847-Co1_12_9,1,6.461780128
BESC-847-Co1_12_9,2,11.51987652
BESC-847-Co2_69_13,1,0.79429242
BESC-847-Co2_69_13,2,0.609013441
BESC-847-Co3_9_34,1,11.86025743
BESC-847-Co3_9_34,2,8.684810899
BESC-866-Co1_10_5,1,3.513527939
BESC-866-Co1_10_5,2,2.154633333
BESC-866-Co2_58_19,1,6.246259056
BESC-866-Co2_58_19,2,3.092673594
BESC-866-Co3_27_48,1,35.36854282
BESC-866-Co3_27_48,2,5.960375711
BESC-904-Co1_5_9,1,57.59394219
BESC-904-Co1_5_9,2,34.59766684
BESC-904-Co2_51_17,1,0.965857232
BESC-904-Co2_51_17,2,0.733909882
BESC-904-Co3_16_51,1,20.01263426
BESC-904-Co3_16_51,2,19.3763868
GW-4579-Co1_14_4,1,41.87404784
GW-4579-Co1_14_4,2,50.20326044
GW-4579-Co2_44_8,1,9.968578683
GW-4579-Co2_44_8,2,7.311331222
GW-4579-Co3_14_51,1,35.26643924
GW-4579-Co3_14_51,2,59.8141802
GW-9591-Co1_16_8,1,4.040169133
GW-9591-Co1_16_8,2,2.427834577
GW-9591-Co2_62_24,1,3.990596584
GW-9591-Co2_62_24,2,3.041571033
GW-9591-Co3_35_48,1,13.13655709
GW-9591-Co3_35_48,2,16.3941116
SKWA-24-3-Co1_3_5,1,35.01648799
SKWA-24-3-Co1_3_5,2,29.29681261
SKWA-24-3-Co2_41_10,1,6.000736054
SKWA-24-3-Co2_41_10,2,6.262902371
SKWA-24-3-Co3_23_35,1,37.65207587
SKWA-24-3-Co3_23_35,2,31.91254261
SKWD-24-1-Co1_7_5,1,31.59997732
SKWD-24-1-Co1_7_5,2,12.63516416
SKWD-24-1-Co2_54_22,1,22.63650846
SKWD-24-1-Co2_54_22,2,19.47795607
SKWD-24-1-Co3_24_32,1,2.017894388
SKWD-24-1-Co3_24_32,2,0.897892282
