Field Sample ID,Technical Replicate,Rate (mg NO3-N/kilogram dry weight soil/day)
BESC-86-Cl2_69_17,1,11.34820974
BESC-86-Cl2_69_17,2,13.50499096
BESC-866-Cl2_50_11,2,6.206185078
BESC-866-Cl2_50_11,1,7.040874231
BESC-866-Cl3_75_7,2,4.801099814
BESC-866-Cl3_75_7,1,5.012110117
BESC-866-Co1_10_5,1,0.607784553
BESC-866-Co1_10_5,2,0.88599035
BESC-866-Co2_58_19,2,-1.150544409
BESC-866-Co2_58_19,2,0.33071956
BESC-866-Co2_58_19,1,0.421159924
BESC-866-Co2_58_19,1,0.42151508
BESC-866-Co3_27_48,2,1.164817157
BESC-866-Co3_27_48,1,1.21206287
BESC-904-Cl2_57_20,2,10.53317543
BESC-904-Cl2_57_20,1,11.21311807
BESC-904-Cl3_91_3,2,3.24562547
BESC-904-Cl3_91_3,1,3.519291889
BESC-904-Co1_5_9,1,1.186450291
BESC-904-Co1_5_9,2,1.412330162
BESC-904-Co2_51_17,2,0.422045441
BESC-904-Co2_51_17,1,0.4668557
BESC-904-Co3_16_51,2,1.498015383
BESC-904-Co3_16_51,1,1.609187144
BESC-905-Cl1_32_20,1,4.009341384
BESC-905-Cl1_32_20,2,4.495724305
GW-11047-Cl1_23_5,2,3.838363508
GW-11047-Cl1_23_5,1,3.972035805
GW-11047-Cl2_41_30,2,3.374237836
GW-11047-Cl2_41_30,1,4.932286828
GW-4579-Cl1_25_23,2,6.642065823
GW-4579-Cl1_25_23,1,6.842824145
GW-4579-Cl2_50_20,2,12.77201764
GW-4579-Cl2_50_20,1,13.60346018
GW-4579-Cl3_72_14,1,3.659509409
GW-4579-Cl3_72_14,2,4.295965129
GW-4579-Co1_14_4,1,1.378367246
GW-4579-Co1_14_4,2,1.699096717
GW-4579-Co2_44_8,2,0.829540403
GW-4579-Co2_44_8,1,0.986113398
GW-4579-Co3_14_51,2,2.503510572
GW-4579-Co3_14_51,1,2.794201517
GW-9591-Cl1_34_16,2,2.194492256
GW-9591-Cl1_34_16,1,2.557311096
GW-9591-Cl2_56_12,2,6.943009021
GW-9591-Cl2_56_12,1,9.875784559
GW-9591-Cl3_98_5,2,1.58175083
GW-9591-Cl3_98_5,1,1.662705399
GW-9591-Co1_16_8,1,1.080508902
GW-9591-Co1_16_8,2,1.081300367
GW-9591-Co2_62_24,1,0.342967221
GW-9591-Co2_62_24,2,0.382387711
GW-9591-Co3_35_48,1,1.091493065
GW-9591-Co3_35_48,2,1.164854018
SKWA-24-3-Cl2_69_25,2,12.79423704
SKWA-24-3-Cl2_69_25,1,13.8194002
SKWA-24-3-Co1_3_5,2,0.909585837
SKWA-24-3-Co1_3_5,1,1.13706924
SKWA-24-3-Co2_41_10,2,0.745021916
SKWA-24-3-Co2_41_10,1,0.799821544
SKWA-24-3-Co3_23_35,1,0.766663118
SKWA-24-3-Co3_23_35,2,0.894235154
SKWD-24-1-Cl2_58_25,1,4.00945249
SKWD-24-1-Cl2_58_25,2,4.282745936
SKWD-24-1-Co1_7_5,1,0.600959479
SKWD-24-1-Co1_7_5,2,0.646098189
SKWD-24-1-Co2_54_22,1,0.332901676
SKWD-24-1-Co2_54_22,2,0.568079457
SKWD-24-1-Co3_24_32,2,0.192892729
SKWD-24-1-Co3_24_32,1,0.255823575
