Field Sample ID,LBC (mg/kg CaCO3/pH dry weight),LBCeq (mg/kg CaCO3/pH dry weight),pH,Ca (Mehlich 1 mg/kg dry weight),K (Mehlich 1 mg/kg dry weight),Mg (Mehlich 1 mg/kg dry weight),Mn (Mehlich 1 mg/kg dry weight),P (Mehlich 1 mg/kg dry weight),Zn (Mehlich 1 mg/kg dry weight),NH4-N (mg/kg dry weight),NO2-N (mg/kg dry weight),NO3-N (mg/kg dry weight),C (%),N (%)
BESC-388-Cl3_88_3,1415,4103.5,5.07,1963.54,181.069,399.987,28.8914,13.0907,5.5845,10.677,<0.20,18.1475,4.554,0.342
BESC-904-Cl2_57_20,1425,4132.5,5.05,1923.65,134.845,404.205,32.9005,22.4911,6.2737,14.706,<0.20,15.503,7.437,0.546
BESC-470-Cl2_38_23,1452,4210.8,5.38,2568.36,233.882,401.36,53.8359,29.7246,8.171,11.693,<0.20,16.977,5.906,0.455
GW-9591-Cl3_98_5,1455,4219.5,4.87,1786.74,178.448,341.65,28.408,17.104,3.4858,11.577,<0.20,10.448,3.826,0.319
GW-11047-Cl2_41_30,1458,4228.2,5.07,2098.19,287.194,349.431,49.2782,25.4354,5.4742,7.291,<0.20,18.1425,3.062,0.265
BESC-866-Co2_58_19,1471,4265.9,4.95,2188.04,87.2653,359.242,39.5279,24.8311,7.5452,16.2875,<0.20,16.3555,8.515,0.613
BESC-448-Cl1_35_3,1503,4358.7,5.03,2059.81,192.34,356.661,26.1871,24.3114,4.9097,14.099,<0.20,5.7905,8.654,0.619
BESC-198-Cl2_38_5,1527,4428.3,5.21,2413.7,231.502,421.954,29.5671,15.9709,7.652,16.1475,<0.20,20.049,8.886,0.633
BESC-833-Cl3_77_6,1555,4509.5,5.17,2141,150.959,391.663,31.6289,26.3759,7.0343,12.15,<0.20,18.951,6.567,0.471
BESC-847-Cl2_38_7,1558,4518.2,4.84,1846.09,168.937,291.535,23.2667,25.6737,5.1776,16.3295,<0.20,14.395,7.005,0.513
BESC-388-Cl2_50_4,1566,4541.4,4.93,2224.63,118.102,314.93,42.6146,28.1263,8.3138,15.591,<0.20,29.0125,8.679,0.71
BESC-258-Cl1_34_5,1566,4541.4,5.12,1510,217.438,235.425,21.7039,22.0106,6.1502,25.639,<0.20,25.9235,9.345,0.688
BESC-307-Cl2_57_8,1594,4622.6,5.13,2340.13,119.436,417.05,31.9293,22.1017,8.8666,11.584,<0.20,16.9025,7.483,0.511
BESC-866-Cl3_75_7,1629,4724.1,5.16,2214.14,157.254,459.533,31.4614,18.346,5.2926,11.0295,<0.20,13.514,6.669,0.491
BESC-351-Cl1_27_10,1650,4785,5.06,2025.13,261.145,337.671,30.3617,13.4214,6.2026,13.3995,0.2485,15.848,6.043,0.428
GW-9591-Cl1_34_16,1665,4828.5,4.86,1485.63,117.171,216.267,24.5174,18.0606,2.2403,12.174,<0.20,7.669,4.823,0.383
GW-11047-Cl1_23_5,1690,4901,5.21,1911.85,316.155,345.542,27.2552,17.2953,4.8509,12.8545,<0.20,13.422,6.191,0.408
BESC-285-Cl2_56_7,1700,4930,4.96,2120.86,125.15,401.422,32.171,14.7876,7.6781,13.4125,<0.20,21.445,8.351,0.581
GW-9591-Cl2_56_12,1707,4950.3,5.04,2380.02,73.1555,440.041,50.4862,17.9504,6.0461,18.515,<0.20,26.191,8.228,0.603
BESC-285-Cl1_33_12,1791,5193.9,4.88,1828.16,136.782,313.425,30.5113,14.61,4.8124,16.687,<0.20,8.8145,7.308,0.545
BESC-847-Co2_69_13,296,858.4,6.41,1287.48,129.847,250.941,16.0294,115.698,1.265,3.8565,<0.20,0.542,0.697,0.261
SKWD-24-1-Co3_24_32,309,896.1,6.44,1414.83,109.268,289.001,9.5918,89.0418,1.1197,2.6065,<0.20,0.3755,0.575,0.05
BESC-845-Co2_60_28,348,1009.2,6.37,1496,118.741,294.494,11.751,97.1426,1.5662,2.0195,<0.20,0.24,0.864,0.06
BESC-234-Co2_52_27,352,1020.8,6.78,1673.1,146.784,331.686,10.6006,100.59,2.0413,1.616,<0.20,0.863,0.848,0.063
BESC-904-Co2_51_17,368,1067.2,6.9,1921.28,346.753,405.766,14.3655,123.234,1.4905,1.5535,<0.20,0.832,0.745,0.295
BESC-133-Co2_50_25,378,1096.2,7.18,1860.34,499.004,337.385,16.0681,127.807,4.2715,2.998,<0.20,0.318,1.058,0.081
SKWD-24-1-Co2_54_22,405,1174.5,6.74,1872.06,262.193,366.281,17.4063,118.146,3.5127,3.261,<0.20,0.4465,1.774,0.38
SKWD-24-1-Co2_54_22,408,1183.2,6.71,1757.29,219.846,324.19,15.2033,105.609,2.9199,2.7195,<0.21,0.316,1.272,0.306
BESC-331-Co2_50_17,448,1299.2,6.92,2152.42,449.091,418.21,17.8597,120.393,3.3915,2.0665,<0.21,1.1235,1.342,0.335
GW-9591-Co1_16_8,449,1302.1,6.64,1945.98,304.965,351.875,17.688,114.613,2.6576,1.8015,<0.20,1.698,1.235,0.242
SKWA-24-3-Co2_41_10,455,1319.5,6.77,2015.2,165.924,400.552,16.7989,104.324,2.2483,2.6175,<0.20,1.3215,1.473,0.31
BESC-307-Co2_62_14,465,1348.5,6.18,1629.03,183.422,363.029,32.4044,111.006,2.7511,5.292,<0.20,0.345,1.348,0.254
BESC-360-Co1_23_6,470,1363,6.61,2236.72,148.147,423.518,20.9377,113.594,2.3331,3.783,<0.20,3.086,1.391,0.224
BESC-86-Cl2_69_17,480,1392,6.76,2127.44,210.536,436.017,33.3969,110.758,3.4735,2.5755,<0.20,0.407,1.52,0.416
BESC-833-Co1_6_4,480,1392,6.63,2217.89,153.687,439.551,20.3547,116.39,1.8725,2.4445,<0.20,1.919,1.175,0.232
BESC-866-Co3_27_48,492,1426.8,6.66,2092.65,150.225,421.19,19.3685,112.623,1.9367,3.4185,<0.22,1.9945,1.25,0.261
BESC-833-Co3_31_37,497,1441.3,6.84,2359.17,201.387,442.326,23.1047,102.779,1.95,2.923,<0.19,1.6305,1.34,0.105
BESC-360-Co2_62_25,499,1447.1,6.72,2331.84,251.476,397.536,23.085,119.226,6.7812,8.3015,<0.21,1.403,2.344,0.433
BESC-833-Co3_31_37,510,1479,6.83,2263.64,195.15,434.146,21.0363,99.8554,2.0147,3.2975,<0.19,2.0295,1.397,0.099
BESC-86-Cl2_69_17,514,1490.6,6.69,2107.69,209.937,446.918,31.219,114.477,3.4804,3.154,<0.19,0.5895,1.347,0.395
SKWD-24-1-Co1_7_5,514,1490.6,6.72,2206.82,173.027,448.931,20.7862,115.044,2.4845,2.9575,<0.21,0.983,1.431,0.298
BESC-833-Co2_47_23,526,1525.4,6.76,2421.86,307.14,404.477,23.0194,111.231,4.4079,2.544,<0.20,1.133,1.944,0.346
BESC-388-Co2_54_7,528,1531.2,6.48,2044.05,184.092,398.928,18.3765,122.088,4.2708,0,<0.21,0.463,1.743,0.327
BESC-847-Co1_12_9,539,1563.1,6.54,2322.55,206.227,440.421,21.3753,117.852,2.8677,2.7645,<0.20,4.8475,1.765,0.3
SKWA-24-3-Co3_23_35,540,1566,6.7,2273.27,152.089,434.138,21.1449,95.9646,2.766,4.4405,<0.20,2.6265,1.613,0.111
BESC-307-Co1_31_6,543,1574.7,6.68,2232.42,220.794,458.483,20.2892,111.376,2.3346,2.8415,<0.20,0.6115,1.458,0.378
BESC-133-Co3_19_46,547,1586.3,6.64,2240.05,160.591,435.555,22.0105,75.121,2.2636,3.1565,<0.20,2.1515,1.696,0.11
BESC-331-Co1_12_7,559,1621.1,6.62,2432.99,208.872,447.272,22.3931,108.677,2.4071,3.5105,<0.21,0.746,1.852,0.397
GW-9591-Co3_35_48,576,1670.4,6.88,2267.67,491.482,456.284,24.8096,77.6349,3.1935,3.866,0.293,2.2445,2.024,0.141
BESC-351-Co2_42_17,577,1673.3,6.81,2320.83,489.767,458.94,20.1285,114.327,2.638,2.329,<0.21,2.804,1.801,0.326
BESC-866-Cl2_50_11,580,1682,6.73,2347.97,208.872,433.255,26.0173,73.2036,2.955,3.6955,<0.20,1.0625,1.869,0.118
BESC-234-Co1_23_3,594,1722.6,6.85,2498.43,219.265,485.077,28.6011,115.112,4.1569,3.014,<0.20,0.2345,2.358,0.34
