Field Sample ID,Replicate 1 Mass Water / Mass Dry Soil %,Replicate 2 Mass Water / Mass Dry Soil %,Replicate 3 Mass Water / Mass Dry Soil %
GW-11047-Cl2_41_30,28.53470437,26.64974619,27.15736041
GW-4579-Cl2_50_20,45.0867052,48.21428571,46.90265487
GW-9591-Cl2_56_12,49.7005988,41.64305949,49.25373134
SKWA-24-3-Cl2_69_25,26.26262626,26.64974619,25.06265664
SKWD-24-1-Cl2_58_25,34.13978495,34.86486486,34.32432432
BESC-845-Cl2_37_16,26.19647355,27.87723785,35.32608696
BESC-845-Cl2_37_16,33.87096774,30.54830287,31.57894737
BESC-133-Cl2_62_7,34.31635389,23.51485149,38.61111111
BESC-470-Cl2_38_23,28.46153846,22.05882353,25
BESC-234-Cl2_65_22,32.53968254,28.27763496,29.45736434
BESC-13-Cl2_39_29,25.6281407,18.52731591,20.67307692
BESC-13-Cl2_39_29,25.31328321,19.0023753,19.71153846
BESC-198-Cl3_81_33,25.75757576,27.73536896,23.82133995
BESC-351-Cl3_84_27,17.05607477,21.95121951,26.19647355
BESC-360-Cl3_72_12,27.80612245,35.50135501,30.05181347
BESC-388-Cl3_88_3,14.48275862,19.28571429,19.85645933
BESC-833-Cl3_77_6,20.96385542,17.68867925,17.28971963
BESC-833-Cl3_77_6,17.33021077,17.05607477,20.24096386
BESC-847-Cl3_83_27,25.75757576,24.6882793,20.82324455
BESC-866-Cl3_75_7,30.28720627,27.48091603,33.78016086
BESC-904-Cl3_91_3,14.94252874,12.92517007,16.27906977
GW-4579-Cl3_72_14,21.46341463,22.54901961,18.67612293
GW-9591-Cl3_98_5,14.64530892,16.74418605,13.95881007
GW-9591-Cl3_98_5,15.24249423,17.17647059,15.97222222
BESC-448-Cl3_88_32,23.51485149,23.51485149,23.76237624
BESC-845-Cl3_80_19,17.96690307,15.17241379,15.81395349
BESC-133-Cl3_93_10,13.15192744,14.18764302,15.17241379
BESC-13-Cl3_85_26,29.79274611,23.76237624,24.93765586
BESC-13-Cl3_85_26,29.94791667,25,25.31328321
