C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,C18_positive|IK:LVGKNOAMLMIIKO-QXMHVHEDSA-N,HILICZ_negative|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,C18_positive|IK:MECHNRXZTMCUDQ-UHFFFAOYSA-N,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,C18_positive|IK:MBIZFBDREVRUHY-UHFFFAOYSA-N,C18_positive|IK:GUMFPOIJOXLCLA-JKSUJKDBSA-N,HILICZ_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,C18_positive|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,HILICZ_negative|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,C18_positive|IK:PUQSUZTXKPLAPR-UJPOAAIJSA-N,C18_positive|IK:WCGUUGGRBIKTOS-UHFFFAOYSA-N,C18_positive|NAME:,C18_negative|IK:IQFYYKKMVGJFEH-UHFFFAOYSA-N,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,HILICZ_positive|IK:XPCTZQVDEJYUGT-UHFFFAOYSA-N,C18_positive|IK:OYTCZOJKXCTBHG-UHFFFAOYSA-N,C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,C18_positive|IK:IBMRTYCHDPMBFN-UHFFFAOYSA-N,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,HILICZ_positive|IK:SIOXPEMLGUPBBT-UHFFFAOYSA-N,C18_positive|IK:OVASVJPBDPJABT-UHFFFAOYSA-N,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,C18_negative|NAME:,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N
0.8695028985260533,0.018289408,0.0,0.05512813933512724,98.78489970433216,5.257748088953026,0.19386697,0.04037031,0.0883819,0.6394486043036791,6763227.134093051,0.0,3971612.331127331,0.17981305679621368,1.934450154712698,1.0492841277399352,141979.4,5298.086835974962,31940840.0,99865.61660335897,245019.39,60289.65,0.34084464075678156,1.454079964285193,24304.380059849176,0.13822836,35702.05658392155,-0.097173974,522644.6566442253,1.4183417562447367,37636.38595227387,7265804.285504716,233147.53114198984,0.7949821920688881,1.9531556904388339,3.2704947,0.1155653,916510.5903370715,20651764.0,2204696.0122194956,6666825.358151864,11.157905348451,4.0270388336987395,1.8432204591744532,298.1697282562475,-0.06443223,2744.895253211847
4.012382825564559,0.07669408,0.0,2621.456409554689,35610.32893958362,1.6791964072194285,0.10753264,0.023237003,-0.032258548,0.5132452384198819,14482029.209181158,38190.40172215974,3527888.226394845,0.40307691976022525,435196.1603721458,1.722918515635031,376024.38,38.84202377704396,79935880.0,110806.78407907004,519131.78,246723.12,0.007554284228743805,0.27667343262224525,14687.421697386431,1053996.0,689196.315864432,347429.47,18697335.646866925,508122.3987767205,56.43211068254798,91402867.88679598,0.0,43457.261179066496,0.3754041701763174,287012.25,0.9737482,11381046.472006585,37790304.0,29.38528853278702,17505414.585440494,84118.0723856059,143898.47372756706,5.26699515535626,2725.455845845765,-0.04402802,8.97593828549971
2.1567946665497617,-0.021135109,0.0,267974.2622958387,19136.497322465617,1.7593029668182583,0.15214235,0.15747842,0.0017779616,0.16128136095381138,18851632.18099459,0.659212053007482,6170151.461476165,0.18085344417043028,27255.876810040245,1.0795485970547867,266934.78,21083.900195675335,50243096.0,1.3545703800965707,223001.98,243789.88,0.023496020926196955,0.2564237566162132,35446.83704794432,25576.014,70540.18769355143,6.1415944,2721992.1943092057,86648.05833426236,16.579628546090053,5597212.181813579,0.0,68334.70305327786,2.2343615735994566,38909.758,0.81611973,3048991.436277844,28925854.0,86812.00386283753,11510131.302108863,6932.579709196865,40.30244592421164,1.2938452083950822,35.93427113334221,0.25459197,8.515737059605552
468266.7976246646,69057.664,82110.66215595638,0.513862361392451,0.8673707964470949,49263.87522849586,12.992903,143465.88,23708.596,249360.25723079228,510264.5762709552,27473.324632984757,459073.76984381117,94351.79630257709,7.091712978997399,364168.60254920606,-0.0078059155,227710.25754517433,20100506.0,76038.14282626311,-0.061083417,1.1113459,2815.5422124612783,4807.589787394606,1.8753439321331753,0.47958806,0.36502498835237274,0.04402854,0.18302633600328277,0.1502132810933413,143835.08403124288,2.632008877282909,1052482.8959909994,0.09073341880167166,25.736039003938643,0.50379527,610080.1,1.5282513247886529,8188992.5,13184.328338156896,1807704.2056717477,11.044202620056895,2.659613493486091,53865.688805162994,0.25163751055234596,35622.32,107339.4459180016
20.71632769907172,0.032001954,0.006434660351739484,1.5335990728295552,10967.05744903461,9.99536466637128,0.6815695,0.8493029,0.3342109,5.632542776258254,14375885.575234832,7.1100481647899825,3796432.4748322926,0.38538928505385167,3.006812432075451,4.6362625510906526,381004.38,5313.371700577534,34678068.0,19.335475151874594,213595.69,1.6170404,1.3103215704709499,1.5208680799443206,4261.154669235038,3.0693243,0.4745015854799462,66576.57,1.3860210072918433,4.641829290917454,155.33117274052398,3.3857397018932893,201678.03630512947,3.5233592134265783,2.46859078329497,3.439615,0.28375614,0.24526794297149354,20035856.0,4.282012904111971,15921098.200582098,33.13416116156262,39386.269903969966,39.247988639109,9.72414738124962,0.17451786,3529.950360660405
1026481.3542141933,103823.08,72485.03094663059,0.0,1.0404416961845633,121511.9648650465,53716.38,202839.8,250291.52,164437.01547691243,754698.443223746,621646.02477085,656805.3452971061,156941.1597725969,0.4950098031641125,989158.0248762071,0.1136047,983407.1969413635,22401462.0,192264.499602181,0.131169,0.9581583,9390.262475487452,14214.223292787296,0.36415633718550156,0.12691766,0.3387058549537027,0.11831593,0.19260145398089307,0.0,207814.17593715384,0.024984079074071772,485737.670736078,0.0048232901350948945,23634.044817043774,0.47077343,938339.56,0.3959581588905451,8687998.0,1.6973036387329352,1661128.3798004817,0.2541017079279318,0.19804543781623105,89229.2175352817,0.08984093025347277,69000.0,741472.0859400153
899042.3828348742,61542.89,0.19884180495130896,0.019155764088276548,0.3123786713902291,61702.402554475564,1.8974384,123424.67,0.65435946,204844.1583656316,4312304.008355803,6.403922280325889,2246669.7550638835,124733.45140440231,0.015640910934215914,1274392.5113432482,75472.21,416268.18112679437,47039140.0,91881.61609201971,37269.062,0.8101975,13.469136474320752,1736.3971041119103,1.570161787188098,0.02211133,0.3417366817142611,0.18035208,34671.74294085712,0.02579666634713649,155914.24227370034,0.12285469487938609,313597.3268355113,0.014539774998104363,45556.978046979035,1.007158,570065.6,1.6866644715748915,25666216.0,2.601020862448744,3272193.2293633423,0.8683665589110634,3.309728136503097,74063.57515528327,0.04841199320152687,0.07094789,419653.74081373896
689263.6959520545,41257.016,138056.36293090662,0.042627662352689374,0.7376707864950914,29739.652400380688,13452.482,96167.664,63511.28,126040.43461687153,1093339.7985462283,58753.266919785274,718184.6694354598,128364.53993361909,0.3237258495817017,114912.49280227954,-0.3039244,1061091.583148069,17566784.0,161425.8818164681,-0.17972079,0.7531247,35634.14883744106,5204.267307848631,0.8105780526101706,2866.756,0.5350355116290587,0.083624795,0.1109431938159923,0.0,178415.74744567942,0.019283462814090043,845582.2859597552,0.01790034476548295,22.942235872480033,0.42942607,749571.94,0.24336183082998666,9288030.0,4.686932395268247,1738829.93935058,0.49380078583224857,0.16545294263899668,42527.292030058285,0.7720401171387377,35620.996,125860.89429677324
682833.5879835223,118359.23,1.0056152439170216,13.919079221499386,0.283895003665882,86565.13999191287,25060.963,61897.473,59455.15,76155.79129563458,5087301.126898104,135595.4217584628,2397009.8380526025,134151.41159435821,471.9807187402793,493455.15002234513,117040.21,604617.9878639551,38799244.0,236572.54533860544,128176.75,0.72589165,10.500138893475158,3891.31448362034,57.115919314980545,1910.5902,74.7993353472658,2666.556,114741.20065521028,0.0,165167.83802325968,22718.043601271464,0.0,0.01733759737687808,48867.46990251015,0.4427004,687687.7,3467.423281733731,21995850.0,4.816124522979757,2895814.0962316412,206.57184771340764,2248.406250392174,97239.00269674642,0.03453903972850527,0.1395425,325193.39449129766
446878.09862594336,31620.914,38732.28929375102,4.113787834237884,1.1119162398156641,35521.63183274392,2.6503665,85049.04,6.4237847,95887.98236796103,416091.9865693975,3.096907090552812,405705.4775207912,115904.81209642258,14.289839691463545,110.25693324675497,0.033322796,146992.8526368602,14836371.0,56929.47245306463,0.30330423,0.99458975,2671.352789688243,20.213820969739405,2.000979552464455,1.4298996,0.4050905428198002,0.009568867,0.449214607470202,0.0,168583.51833538632,0.8501103028628128,251949.01107355385,0.10526150064353187,27.01777575382305,3.1029348,0.8542063,978.2872176524744,8126970.5,11190.27970378194,1717210.370785865,21.170136559342307,1.9501773659884045,407.7211323898522,0.3211076158780033,31863.062,108214.02673561829
