assay,n_metabolites,mean_r2,median_r2,max_r2,n_r2_gt_0,n_r2_gt_0_1,mean_zero_fraction
C18_negative,143,-0.9068283705936819,-0.0514350753351044,0.6270071367326707,65,37,0.6072594072594072
C18_positive,264,-0.7372961666040349,-0.09121840064278494,0.5402344177738825,78,42,0.6281385281385281
HILICZ_positive,104,-0.811455049720365,-0.10893976757552565,0.3673770313652149,22,10,0.625
HILICZ_negative,141,-0.5955459637513216,-0.0421174665526889,0.2720919790712675,59,21,0.6426207362377575
