node_id,label,display_label,node_type,degree,weighted_degree,betweenness,hub_score,label_short,clean_name,biological_category
M::C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,C18_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,"C18-
IK:CZMRCDWA",metabolite,3,0.0874103526951969,0.0006060606060606,0.8551980198019802,C18_negative|IK:CZMRCDWAGM,C18_negative|IK:CZMRCDWAGM,microbe_other
M::C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,"C18-
IK:BJEPYKJP",metabolite,3,0.085654908551846,0.0006060606060606,0.8482673267326732,C18_negative|IK:BJEPYKJPYR,C18_negative|IK:BJEPYKJPYR,microbe_other
M::C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,C18_negative|IK:CWVRJTMFETXNAD-UHFFFAOYSA-N,"C18-
IK:CWVRJTMF",metabolite,3,0.076106250528023,0.0018181818181818,0.8363861386138614,C18_negative|IK:CWVRJTMFET,C18_negative|IK:CWVRJTMFET,microbe_other
M::C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,C18_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,"C18-
IK:BJRNKVDF",metabolite,3,0.0813619065650635,0.0006060606060606,0.8309405940594059,C18_negative|IK:BJRNKVDFDL,C18_negative|IK:BJRNKVDFDL,microbe_other
M::C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,C18_negative|IK:BAHHZVVNFAOLAZ-UHFFFAOYSA-N,"C18-
IK:BAHHZVVN",metabolite,3,0.0754027996844644,0.0006060606060606,0.8136138613861386,C18_negative|IK:BAHHZVVNFA,C18_negative|IK:BAHHZVVNFA,microbe_other
M::C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,C18_negative|IK:CZOXIGOPZRIBJM-TZWBTVLISA-N,"C18-
IK:CZOXIGOP",metabolite,3,0.0678232200556147,0.0006060606060606,0.7997524752475247,C18_negative|IK:CZOXIGOPZR,C18_negative|IK:CZOXIGOPZR,microbe_other
M::C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,"C18-
IK:BJRNKVDF",metabolite,2,0.0848979978284151,0.0008080808080808,0.7559405940594058,C18_negative|IK:BJRNKVDFDL,C18_negative|IK:BJRNKVDFDL,microbe_other
M::C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,"C18-
IK:AIONOLUJ",metabolite,2,0.0701662179243822,0.0002020202020202,0.7029702970297029,C18_negative|IK:AIONOLUJZL,C18_negative|IK:AIONOLUJZL,microbe_other
M::C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,C18_negative|IK:AKEUNCKRJATALU-UHFFFAOYSA-N,"C18-
IK:AKEUNCKR",metabolite,2,0.0596645840846226,0.0002020202020202,0.6787128712871286,C18_negative|IK:AKEUNCKRJA,C18_negative|IK:AKEUNCKRJA,microbe_other
M::C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,"C18-
IK:CKEXCBVN",metabolite,2,0.0506674950405637,0.0002020202020202,0.6648514851485148,C18_negative|IK:CKEXCBVNKR,C18_negative|IK:CKEXCBVNKR,microbe_other
M::C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,C18_negative|IK:DLRVVLDZNNYCBX-ABXHMFFYSA-N,"C18-
IK:DLRVVLDZ",metabolite,2,0.0487609198003346,0.0002020202020202,0.6544554455445545,C18_negative|IK:DLRVVLDZNN,C18_negative|IK:DLRVVLDZNN,microbe_other
M::C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,C18_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,"C18-
IK:AAWZDTNX",metabolite,2,0.0369385927487393,0.0002020202020202,0.6128712871287129,C18_negative|IK:AAWZDTNXLS,C18_negative|IK:AAWZDTNXLS,microbe_other
M::C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,C18_negative|IK:BPSJMBKZSUTYNF-GXCUHXBUSA-N,"C18-
IK:BPSJMBKZ",metabolite,1,0.1220847320987777,0.0,0.5225247524752475,C18_negative|IK:BPSJMBKZSU,C18_negative|IK:BPSJMBKZSU,microbe_other
M::C18_negative|IK:CSGSKMJWQQEEQK-NHCPJIJJSA-N,C18_negative|IK:CSGSKMJWQQEEQK-NHCPJIJJSA-N,"C18-
IK:CSGSKMJW",metabolite,1,0.0246893429520585,0.0,0.2955445544554455,C18_negative|IK:CSGSKMJWQQ,C18_negative|IK:CSGSKMJWQQ,microbe_other
