threshold,mean_presence_fraction,median_presence_fraction,n_metabolites_present_in_>=10pct_samples,n_metabolites_present_in_>=20pct_samples
0.0,0.37380952380952376,0.2761904761904762,652,435
1e-09,0.37380952380952376,0.2761904761904762,652,435
1e-06,0.37380952380952376,0.2761904761904762,652,435
0.001,0.37380952380952376,0.2761904761904762,652,435
