experiment_id,metabolite,r2,rmse,rare_threshold,mi_k,reduction,n_components,n_mg_features_after_filter,n_soil_features_after_filter
DR03_late_mi500_pca20_rf,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,0.1590205553223356,7.713779581310856,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,HILICZ_negative|IK:QZZGJDVWLFXDLK-UHFFFAOYSA-N,0.2834349183635354,5.249679624402334,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_negative|IK:BJEPYKJPYRNKOW-REOHCLBHSA-N,0.24835095990679712,4.829275142665187,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.2692476667221366,4.60410381799073,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.25887459021796233,5.0479093211938135,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_negative|IK:LJCWONGJFPCTTL-ZETCQYMHSA-N,0.16864813888091035,5.766316619334778,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,0.18153654368392247,6.696994261647104,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_negative|NAME:,0.2727160774642261,0.7439200020880148,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,HILICZ_negative|IK:JVQYSWDUAOAHFM-UHFFFAOYSA-N,0.22098623250442773,6.317684746578788,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_positive|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.14254945620877646,2.0531135933704308,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,HILICZ_positive|IK:COLNVLDHVKWLRT-QMMMGPOBSA-N,0.17343147012678284,5.993271834051953,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_positive|IK:RGHMISIYKIHAJW-UHFFFAOYSA-N,0.2820741916285442,5.6606096930290795,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_positive|IK:LWYJCVVIVLBLID-UHFFFAOYSA-N,0.2619290145965525,5.319851635141003,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_positive|IK:PRYIJAGAEJZDBO-ZEQHCUNVSA-N,0.2094499648042767,4.527377117975864,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_negative|IK:PVWALMCXZUMCBB-UHFFFAOYSA-N,0.038561750128276895,4.438147640905649,0.0,500,pca,20,3039,20
DR03_late_mi500_pca20_rf,C18_negative|IK:HMUJXQRRKBLVOO-UHFFFAOYSA-N,0.19251760657367978,5.058629137876894,0.0,500,pca,20,3039,20
