model,mean,median,std,min,max,kind
MG_Soil_late,0.47787685102166727,0.47500875475755366,0.11362957183946719,0.2753553145296044,0.6901070897217152,real
MG_only,0.45958762305245876,0.4717489452466932,0.11921463578268769,0.2905670474443717,0.6732909547111752,real
Soil_only,0.4096313731591096,0.40502845108297214,0.13057087762316377,0.1177827555863301,0.5962270737945568,real
