host_id,nmdc_biosample_id,metagenome_accession,metabolomics_id,soil_pH,soil_NH4,soil_NO3,soil_total_C,soil_total_N,keep_for_analysis,notes,gold_project_id,metabolomics_present,metabolomics_run_count,cohort_status,soil_match,metagenomics_match,biosample_id_norm
SKWD-24-1-Co1_7_5,nmdc:bsm-11-hx8qxc63,SRX21790338,nmdc:dgms-12-wzwzx786;nmdc:dgms-12-zjsc9d15;nmdc:dgms-12-vv9cxd52;nmdc:dgms-12-74wq0x95,6.72,2.9575,0.983,1.431,0.298,yes,from_supp_table1,Gp0566861,yes,4,ready,yes,yes,nmdc_bsm-11-hx8qxc63
GW-7986-Co3_31_39,nmdc:bsm-11-jqwsb466,SRX21790339,nmdc:dgms-12-6qjgec18;nmdc:dgms-12-fm6wv590;nmdc:dgms-12-5yzgtf09;nmdc:dgms-12-dz2e6277,,,nan,,,yes,from_supp_table1,Gp0566849,yes,4,ready,yes,yes,nmdc_bsm-11-jqwsb466
GW-9591-Co3_35_48,nmdc:bsm-11-0xqxvc88,SRX21790356,nmdc:dgms-12-tjfjep03;nmdc:dgms-12-kjkf1522;nmdc:dgms-12-xs6kk482;nmdc:dgms-12-4rbck881,6.88,3.866,2.2445,2.024,0.141,yes,from_supp_table1,Gp0566855,yes,4,ready,yes,yes,nmdc_bsm-11-0xqxvc88
GW-9591-CL1_34_16,nmdc:bsm-11-ahpvvb55,SRX21790357,nmdc:dgms-12-nh628y30;nmdc:dgms-12-83c0ze50;nmdc:dgms-12-7xcht157;nmdc:dgms-12-3p73d304,4.85,12.972,9.3675,4.762,0.369,yes,from_supp_table1,Gp0566850,yes,4,ready,yes,yes,nmdc_bsm-11-ahpvvb55
SKWA-24-3-Co3_23_35,nmdc:bsm-11-7yjtg159,SRX21790358,nmdc:dgms-12-y8rq7q67;nmdc:dgms-12-57z7a455;nmdc:dgms-12-hpbrsm64;nmdc:dgms-12-tytm8n54,6.7,4.4405,2.6265,1.613,0.111,yes,from_supp_table1,Gp0566859,yes,4,ready,yes,yes,nmdc_bsm-11-7yjtg159
SKWD-24-1-CL2_58_25,nmdc:bsm-11-af8ap759,SRX21790359,nmdc:dgms-12-4fkytb85;nmdc:dgms-12-amhbpr48;nmdc:dgms-12-3xy7sw21;nmdc:dgms-12-azgrqm31,5.04,9.8355,13.174,5.831,0.448,yes,from_supp_table1,Gp0566860,yes,4,ready,yes,yes,nmdc_bsm-11-af8ap759
GW-9591-CL2_56_12,nmdc:bsm-11-57ejpn32,SRX21790360,nmdc:dgms-12-a4nd1958;nmdc:dgms-12-s8mtae44;nmdc:dgms-12-j7pvyr53;nmdc:dgms-12-pwrrza45,5.04,18.515,26.191,8.228,0.603,yes,from_supp_table1,Gp0566851,yes,4,ready,yes,yes,nmdc_bsm-11-57ejpn32
SKWD-24-1-Co3_24_32,nmdc:bsm-11-1a9d1633,SRX21790361,nmdc:dgms-12-2c79wt25;nmdc:dgms-12-6z5w5v84;nmdc:dgms-12-yvd9ht42;nmdc:dgms-12-a2pdzk51,6.44,2.6065,0.3755,0.575,0.05,yes,from_supp_table1,Gp0566863,yes,4,ready,yes,yes,nmdc_bsm-11-1a9d1633
GW-9591-Co1_16_8,nmdc:bsm-11-yms2f086,SRX21790362,nmdc:dgms-12-58m2r182;nmdc:dgms-12-ann5pb93;nmdc:dgms-12-6bmrgp85;nmdc:dgms-12-z8579q89,6.64,1.8015,1.698,1.235,0.242,yes,from_supp_table1,Gp0566853,yes,4,ready,yes,yes,nmdc_bsm-11-yms2f086
SKWD-24-1-Co2_54_22,nmdc:bsm-11-wm40z541,SRX21790363,nmdc:dgms-12-ga7g0t50;nmdc:dgms-12-sjz55c78;nmdc:dgms-12-pys4cj59;nmdc:dgms-12-xv2zq230,6.74,3.261,0.4465,1.774,0.38,yes,from_supp_table1,Gp0566862,yes,4,ready,yes,yes,nmdc_bsm-11-wm40z541
BESC-847-CL3_83_27,nmdc:bsm-11-pgfhya35,SRX21790364,nmdc:dgms-12-q83p1e44;nmdc:dgms-12-nxkg4h29;nmdc:dgms-12-hwr1kx83;nmdc:dgms-12-92xjd525,5.34,8.3875,19.8355,3.886,0.319,yes,from_supp_table1,Gp0566823,yes,4,ready,yes,yes,nmdc_bsm-11-pgfhya35
SKWA-24-3-Co2_41_10,nmdc:bsm-11-4pc4k424,SRX21790365,nmdc:dgms-12-w9bhkv16;nmdc:dgms-12-ms8cjb84;nmdc:dgms-12-4d3pr875;nmdc:dgms-12-n1c1r813,6.77,2.6175,1.3215,1.473,0.31,yes,from_supp_table1,Gp0566858,yes,4,ready,yes,yes,nmdc_bsm-11-4pc4k424
SKWA-24-3-CL2_69_25,nmdc:bsm-11-aan31e03,SRX21791385,nmdc:dgms-12-1fz3wg32;nmdc:dgms-12-gb1v6726;nmdc:dgms-12-zs9dat86;nmdc:dgms-12-pdvaph96,5.13,10.138,33.2955,6.611,0.491,yes,from_supp_table1,Gp0566856,yes,4,ready,yes,yes,nmdc_bsm-11-aan31e03
