feature,feature_type,n_metabolites,mean_importance,max_importance,mean_cv_r2
Aquimarina sp. AD10,mg,1,0.06695697918310874,0.06695697918310874,0.5661954856051917
Frankia symbiont of Datisca glomerata,mg,1,0.06444700062274933,0.06444700062274933,0.4723181412272977
Pseudomonas lini,mg,1,0.06416430081264496,0.06416430081264496,0.6466928701780337
Nocardia seriolae,mg,1,0.05938011407852173,0.05938011407852173,0.4422310812494176
Bradyrhizobium sp.,mg,1,0.0584942591241325,0.0584942591241325,0.4350307938679755
Alcanivorax sp. N3-2A,mg,1,0.05531545373925169,0.05531545373925169,0.6466928701780337
Phycicoccus dokdonensis,mg,1,0.054010043601030226,0.054010043601030226,0.6466928701780337
Chryseolinea sp. KIS68-18,mg,1,0.05310389644895454,0.05310389644895454,0.4350307938679755
Streptomyces sviceus,mg,1,0.05176599696278572,0.05176599696278572,0.630536037972228
Planctomyces sp. SH-PL62,mg,1,0.05156104639172554,0.05156104639172554,0.4422310812494176
Kitasatospora albolonga,mg,1,0.04980908886846018,0.04980908886846018,0.4350307938679755
Glaciecola nitratireducens,mg,1,0.04821688054473856,0.04821688054473856,0.5661954856051917
Lysobacter gummosus,mg,1,0.04771452380035597,0.04771452380035597,0.5267660573045383
Burkholderia pseudomallei,mg,1,0.04697984457015991,0.04697984457015991,0.630536037972228
Mycobacterium haemophilum,mg,1,0.04660512717015728,0.04660512717015728,0.5661954856051917
Janthinobacterium sp. LM6,mg,1,0.046021908557130516,0.046021908557130516,0.4812052308429454
Pedobacter sp. G11,mg,1,0.04498570324105845,0.04498570324105845,0.4350307938679755
Kibdelosporangium phytohabitans,mg,1,0.04402330484166231,0.04402330484166231,0.4812052308429454
Homo sapiens,mg,1,0.042385576893026126,0.042385576893026126,0.4812052308429454
Pseudoxanthomonas spadix,mg,1,0.04081970824224667,0.04081970824224667,0.5267660573045383
Amycolatopsis methanolica,mg,1,0.040813218055913175,0.040813218055913175,0.4812052308429454
Actinoplanes teichomyceticus,mg,1,0.040284084722214834,0.040284084722214834,0.5267660573045383
Actinomyces sp. oral taxon 897,mg,1,0.03971149215385841,0.03971149215385841,0.4812052308429454
Micromonospora inositola,mg,1,0.038133827217984285,0.038133827217984285,0.4350307938679755
Janthinobacterium svalbardensis,mg,1,0.037920716085236485,0.037920716085236485,0.4812052308429454
