model_code,n_metabolites,mean_cv_r2,median_cv_r2,max_cv_r2,min_cv_r2
RF,15,0.31582850354968195,0.2730652496993487,0.5920796732029696,0.2187261980197983
ELASTIC,8,0.28991023769999075,0.27315959603145157,0.508949341027864,0.1674350895072983
ET,2,0.495121851813032,0.495121851813032,0.6330316388101537,0.3572120648159103
SVR,2,0.3965732175854728,0.3965732175854728,0.524234193101003,0.2689122420699426
