mg_feature,degree
Kitasatospora sp. MMS16-BH015,11
Streptacidiphilus sp. DSM 106435,11
Kitasatospora aureofaciens,10
Kitasatospora setae,9
Streptomyces sp. TLI_053,8
Granulibacter bethesdensis,6
Nocardiopsis gilva,6
Jatrophihabitans sp. GAS493,5
Allokutzneria albata,5
Actinosynnema mirum,5
Bradyrhizobium erythrophlei,5
Amycolatopsis methanolica,5
Acidothermus cellulolyticus,5
Actinomadura amylolytica,5
Salinispora tropica,5
Micromonospora auratinigra,5
Frankineae bacterium MT45,5
Micromonospora narathiwatensis,5
Nocardiopsis alba,5
Nakamurella panacisegetis,5
Nocardiopsis dassonvillei,5
Micromonospora siamensis,5
Streptosporangium sp. 'caverna',5
Streptomyces cattleya,5
Streptomyces sp. SCSIO 03032,5
Streptomyces xiamenensis,5
Thermobispora bispora,5
Thermobifida fusca,5
Thermomonospora curvata,5
Actinomyces sp. VUL4_3,2
