config,global_r2_uniform_average,global_r2_variance_weighted,global_rmse,n_positive_r2_targets,n_negative_r2_targets
mg_only,-0.062345363892743526,-0.04644261542658787,1.0093446684596799,23,27
soil_plus_mg,-0.060250836575065046,-0.04994764225786744,1.0110336395617514,21,29
soil_only,-0.0696388817322949,-0.06023193374563713,1.0159731367880709,17,33
